rcp	gcm	ensemble	pr	tasmin	tas	tasmin	hur	rsds	sfcWind
rcp_45	bcc_csm1_1	r1i1p1	20060101-20991231.nc	20060101-20991231.nc	20060101-20991231.nc	20060101-20991231.nc	20060101-20991231.nc	20060101-20991231.nc	20060101-20991231.nc	20060101-20991231.nc
rcp_45	bnu_esm	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp_45	cccma_cancm4	r10i1p1	20060101-20351231.nc	20060101-20351231.nc	N/A	20060101-20351231.nc	20060101-20351231.nc	N/A	N/A	N/A
rcp_45	cccma_cancm4	r1i1p1	20060101-20351231.nc	20060101-20351231.nc	N/A	20060101-20351231.nc	20060101-20351231.nc	N/A	N/A	N/A
rcp_45	cccma_cancm4	r2i1p1	20060101-20351231.nc	20060101-20351231.nc	N/A	20060101-20351231.nc	20060101-20351231.nc	N/A	N/A	N/A
rcp_45	cccma_cancm4	r3i1p1	20060101-20351231.nc	20060101-20351231.nc	N/A	20060101-20351231.nc	20060101-20351231.nc	N/A	N/A	N/A
rcp_45	cccma_cancm4	r4i1p1	20060101-20351231.nc	20060101-20351231.nc	N/A	20060101-20351231.nc	20060101-20351231.nc	N/A	N/A	N/A
rcp_45	cccma_cancm4	r5i1p1	20060101-20351231.nc	20060101-20351231.nc	N/A	20060101-20351231.nc	20060101-20351231.nc	N/A	N/A	N/A
rcp_45	cccma_cancm4	r6i1p1	20060101-20351231.nc	20060101-20351231.nc	N/A	20060101-20351231.nc	20060101-20351231.nc	N/A	N/A	N/A
rcp_45	cccma_cancm4	r7i1p1	20060101-20351231.nc	20060101-20351231.nc	N/A	20060101-20351231.nc	20060101-20351231.nc	N/A	N/A	N/A
rcp_45	cccma_cancm4	r8i1p1	20060101-20351231.nc	20060101-20351231.nc	N/A	20060101-20351231.nc	20060101-20351231.nc	N/A	N/A	N/A
rcp_45	cccma_cancm4	r9i1p1	20060101-20351231.nc	20060101-20351231.nc	N/A	20060101-20351231.nc	20060101-20351231.nc	N/A	N/A	N/A
rcp_45	cccma_canesm2	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp_45	cccma_canesm2	r2i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp_45	cccma_canesm2	r3i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
