"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"rcp","model","xRes","yRes","nCols","nRows","xMin","xMax","yMin","yMax"
"rcp26","bcc_csm1_1","2.8125","2.78932694727723","128","64","-181.40625","178.59375","-89.2584623128712","89.2584623128712"
"rcp26","bcc_csm1_1","2.8125","2.78932694727723","128","64","-181.40625","178.59375","-89.2584623128712","89.2584623128712"
"rcp26","bcc_csm1_1","2.8125","2.78932694727723","128","64","-181.40625","178.59375","-89.2584623128712","89.2584623128712"
"rcp26","bcc_csm1_1","2.8125","2.78932694727723","128","64","-181.40625","178.59375","-89.2584623128712","89.2584623128712"
"rcp26","bcc_csm1_1","2.8125","2.78932694727723","128","64","-181.40625","178.59375","-89.2584623128712","89.2584623128712"
"rcp26","bcc_csm1_1","2.8125","2.78932694727723","128","64","-181.40625","178.59375","-89.2584623128712","89.2584623128712"
"rcp26","bcc_csm1_1_m","1.125","1.12127697391775","320","160","-180.5625","179.4375","-89.70215791342","89.70215791342"
"rcp26","bcc_csm1_1_m","1.125","1.12127697391775","320","160","-180.5625","179.4375","-89.70215791342","89.70215791342"
"rcp26","bcc_csm1_1_m","1.125","1.12127697391775","320","160","-180.5625","179.4375","-89.70215791342","89.70215791342"
"rcp26","bcc_csm1_1_m","1.125","1.12127697391775","320","160","-180.5625","179.4375","-89.70215791342","89.70215791342"
"rcp26","bcc_csm1_1_m","1.125","1.12127697391775","320","160","-180.5625","179.4375","-89.70215791342","89.70215791342"
"rcp26","bcc_csm1_1_m","1.125","1.12127697391775","320","160","-180.5625","179.4375","-89.70215791342","89.70215791342"
"rcp26","bnu_esm","2.8125","2.78932698567708","128","64","-181.40625","178.59375","-89.2584635416667","89.2584635416667"
"rcp26","bnu_esm","2.8125","2.78932698567708","128","64","-181.40625","178.59375","-89.2584635416667","89.2584635416667"
"rcp26","bnu_esm","2.8125","2.78932698567708","128","64","-181.40625","178.59375","-89.2584635416667","89.2584635416667"
"rcp26","bnu_esm","2.8125","2.78932698567708","128","64","-181.40625","178.59375","-89.2584635416667","89.2584635416667"
"rcp26","bnu_esm","2.8125","2.78932698567708","128","64","-181.40625","178.59375","-89.2584635416667","89.2584635416667"
"rcp26","bnu_esm","2.8125","2.78932698567708","128","64","-181.40625","178.59375","-89.2584635416667","89.2584635416667"
"rcp26","canesm2","2.8125","2.78932702678447","128","64","-181.40625","178.59375","-89.258464857103","89.258464857103"
"rcp26","canesm2","2.8125","2.78932702678447","128","64","-181.40625","178.59375","-89.258464857103","89.258464857103"
"rcp26","canesm2","2.8125","2.78932702678447","128","64","-181.40625","178.59375","-89.258464857103","89.258464857103"
"rcp26","canesm2","2.8125","2.78932702678447","128","64","-181.40625","178.59375","-89.258464857103","89.258464857103"
"rcp26","canesm2","2.8125","2.78932702678447","128","64","-181.40625","178.59375","-89.258464857103","89.258464857103"
"rcp26","canesm2","2.8125","2.78932702678447","128","64","-181.40625","178.59375","-89.258464857103","89.258464857103"
"rcp26","ccsm4","1.25","0.942408376963351","288","192","-180.625","179.375","-90.4712041884817","90.4712041884817"
"rcp26","ccsm4","1.25","0.942408376963351","288","192","-180.625","179.375","-90.4712041884817","90.4712041884817"
"rcp26","ccsm4","1.25","0.942408376963351","288","192","-180.625","179.375","-90.4712041884817","90.4712041884817"
"rcp26","ccsm4","1.25","0.942408376963351","288","192","-180.625","179.375","-90.4712041884817","90.4712041884817"
"rcp26","ccsm4","1.25","0.942408376963351","288","192","-180.625","179.375","-90.4712041884817","90.4712041884817"
"rcp26","ccsm4","1.25","0.942408376963351","288","192","-180.625","179.375","-90.4712041884817","90.4712041884817"
"rcp26","cesm1_cam5","1.25","0.942408376963351","288","192","-180.625","179.375","-90.4712041884817","90.4712041884817"
"rcp26","cesm1_cam5","1.25","0.942408376963351","288","192","-180.625","179.375","-90.4712041884817","90.4712041884817"
"rcp26","cesm1_cam5","1.25","0.942408376963351","288","192","-180.625","179.375","-90.4712041884817","90.4712041884817"
