rcp,model,xRes,yRes,nCols,nRows,xMin,xMax,yMin,yMax
historical,giss_e2_h_cc,2.5,2,144,90,-180,180,-90,90
historical,giss_e2_r,2.5,2,144,90,-180,180,-90,90
historical,giss_e2_r,2.5,2,144,90,-180,180,-90,90
historical,giss_e2_r_cc,2.5,2,144,90,-180,180,-90,90
historical,giss_e2_r_cc,2.5,2,144,90,-180,180,-90,90
historical,hadcm3,3.75,2.5,96,73,-181.875,178.125,-91.25,91.25
historical,hadcm3,3.75,2.5,96,73,-181.875,178.125,-91.25,91.25
historical,hadgem2_ao,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
historical,hadgem2_ao,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
historical,hadgem2_cc,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
historical,hadgem2_cc,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
historical,hadgem2_es,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
historical,hadgem2_es,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
historical,inmcm4,2,1.5,180,120,-181,179,-90,90
historical,inmcm4,2,1.5,180,120,-181,179,-90,90
historical,ipsl_cm5a_lr,3.75,1.894736842,96,96,-181.875,178.125,-90.94736842,90.94736842
historical,ipsl_cm5a_lr,3.75,1.894736842,96,96,-181.875,178.125,-90.94736842,90.94736842
historical,ipsl_cm5a_mr,2.5,1.267605634,144,143,-181.25,178.75,-90.63380282,90.63380282
historical,ipsl_cm5a_mr,2.5,1.267605634,144,143,-181.25,178.75,-90.63380282,90.63380282
historical,ipsl_cm5b_lr,3.75,1.894736842,96,96,-181.875,178.125,-90.94736842,90.94736842
historical,ipsl_cm5b_lr,3.75,1.894736842,96,96,-181.875,178.125,-90.94736842,90.94736842
historical,miroc4h,0.5625,0.56156796,640,320,-180.28125,179.71875,-89.85087353,89.85087353
historical,miroc4h,0.5625,0.56156796,640,320,-180.28125,179.71875,-89.85087353,89.85087353
