MODELS	PERIODS	VARIABLES	SIZE	TOP_ALL	LEF_ALL	RIG_ALL	BOT_ALL	CEX_ALL	CEY_ALL	ROW_ALL	COLUMN_ALL	MEAN_ALL	STD_ALL	MIN_ALL	MAX_ALL
bcc_csm1_1	2020_2049	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	134.884585087	214.347881115	0.0	5781.0
bcc_csm1_1	2020_2049	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.56306312171	3.5486937266	0.0	12.0
bcc_csm1_1	2020_2049	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.56306312171	3.5486937266	0.0	12.0
bcc_csm1_1	2020_2049	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.56306312171	3.5486937266	0.0	12.0
bcc_csm1_1	2020_2049	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.56306312171	3.5486937266	0.0	12.0
bcc_csm1_1	2020_2049	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.56306312171	3.5486937266	0.0	12.0
bcc_csm1_1	2020_2049	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.56306312171	3.5486937266	0.0	12.0
bcc_csm1_1	2020_2049	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.56306312171	3.5486937266	0.0	12.0
bcc_csm1_1	2020_2049	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.56306312171	3.5486937266	0.0	12.0
bcc_csm1_1	2020_2049	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.56306312171	3.5486937266	0.0	12.0
bcc_csm1_1	2020_2049	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.56306312171	3.5486937266	0.0	12.0
bcc_csm1_1	2020_2049	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.56306312171	3.5486937266	0.0	12.0
bcc_csm1_1	2020_2049	cons_mths	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	9.56306312171	3.5486937266	0.0	12.0
bcc_csm1_1	2040_2069	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	56.9939597615	79.5790943411	0.0	1150.0
bcc_csm1_1	2040_2069	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	53.5538343598	76.2223033097	0.0	970.0
bcc_csm1_1	2040_2069	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	57.778191478	78.9403319541	0.0	863.0
bcc_csm1_1	2040_2069	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	55.5772547639	70.1163550468	0.0	1441.0
bcc_csm1_1	2040_2069	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	59.6865040408	77.6445162787	0.0	1548.0
bcc_csm1_1	2040_2069	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	65.1950202913	82.9670792581	0.0	3527.0
bcc_csm1_1	2040_2069	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	77.0892390858	100.238753079	0.0	3398.0
bcc_csm1_1	2040_2069	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	74.6706248388	86.1431240149	0.0	2397.0
bcc_csm1_1	2040_2069	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	68.8599368544	84.1406383752	0.0	1354.0
bcc_csm1_1	2040_2069	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	62.2811311238	70.1660562431	0.0	1387.0
bcc_csm1_1	2040_2069	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	58.5678931565	69.9478196947	0.0	1231.0
bcc_csm1_1	2040_2069	prec	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	57.4588812304	77.446765157	0.0	1494.0
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	108.84479973	140.89550267	-239.0	340.0
bcc_csm1_1	2040_2069	bio	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	110.673087684	33.1291779993	9.0	220.0
bcc_csm1_1	2040_2069	bio	240729088	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	37.945245367	20.3531680846	6.0	96.0
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	8042.32657374	4935.97055038	75.0	22120.0
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	283.227894159	104.147232682	-73.0	513.0
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	-61.543224103	190.573686142	-531.0	272.0
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	344.771118262	133.866729326	53.0	715.0
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	168.890127406	112.118516267	-310.0	396.0
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	55.2185274421	197.713694392	-469.0	392.0
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	209.79727104	95.7658608244	-117.0	404.0
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	4.36656741211	194.183156842	-482.0	310.0
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	747.712470985	703.521931928	0.0	12852.0
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	131.595902848	127.859721948	0.0	3527.0
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	20.0911230635	28.7996928188	0.0	778.0
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	63.4651531104	35.7974025817	0.0	294.0
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	333.854693859	321.320461655	0.0	9109.0
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	73.8731281451	100.640061382	0.0	2627.0
bcc_csm1_1	2040_2069	bio	-55412736	90.0000078231096	-180	180.000018775463	-60	0.00833333376795	0.00833333376795	18000	43200	215.068086166	189.52820665	0.0	6496.0
