rcp	gcm	ensemble	prec	tmax	tmean	tmin	hur	rsds	obs
rcp45	csiro_access1_0	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	2006-2100	2006-2100	
rcp45	csiro_access1_3	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	2006-2100	2006-2100	
rcp45	bcc_csm1_1	r1i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	bcc_csm1_1_m	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	bnu_esm	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	cccma_cancm4	r10i1p1	2006-2035	no	2006-2035	no	no	2006-2035	ins-var
rcp45	cccma_cancm4	r1i1p1	2006-2035	no	2006-2035	no	no	2006-2035	ins-var
rcp45	cccma_cancm4	r2i1p1	2006-2035	no	2006-2035	no	no	2006-2035	ins-var
rcp45	cccma_cancm4	r3i1p1	2006-2035	no	2006-2035	no	no	2006-2035	ins-var
rcp45	cccma_cancm4	r4i1p1	2006-2035	no	2006-2035	no	no	2006-2035	ins-var
rcp45	cccma_cancm4	r5i1p1	2006-2035	no	2006-2035	no	no	2006-2035	ins-var
rcp45	cccma_cancm4	r6i1p1	2006-2035	no	2006-2035	no	no	2006-2035	ins-var
rcp45	cccma_cancm4	r7i1p1	2006-2035	no	2006-2035	no	no	2006-2035	ins-var
rcp45	cccma_cancm4	r8i1p1	2006-2035	no	2006-2035	no	no	2006-2035	ins-var
rcp45	cccma_cancm4	r9i1p1	2006-2035	no	2006-2035	no	no	2006-2035	ins-var
rcp45	cccma_canesm2	r1i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	cccma_canesm2	r2i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	cccma_canesm2	r3i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	cccma_canesm2	r4i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp45	cccma_canesm2	r5i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp45	ncar_ccsm4	r1i1p1	2006-2299	2005-2299	2005-2299	2005-2299	no	2005-2100	
rcp45	ncar_ccsm4	r2i1p1	2006-2100	2005-2100	2005-2100	2005-2100	no	2005-2100	
rcp45	ncar_ccsm4	r3i1p1	2006-2100	2005-2100	2005-2100	2005-2100	no	2005-2100	
rcp45	ncar_ccsm4	r4i1p1	2006-2100	2005-2100	2005-2100	2005-2100	no	2005-2100	
rcp45	ncar_ccsm4	r5i1p1	2006-2100	2005-2100	2005-2100	2005-2100	no	2005-2100	
rcp45	ncar_ccsm4	r6i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
