ID	Fileset	GCM	Ensemble	iYear	iMonth	iDay	fYear	fMonth	fDay	ncol	res_x	nrow	res_y	has_leap	pr_unit	tas_unit	naming	Notes
57	1	ichec_ec_earth	r6i1p1	1950	1	1	1974	12	31	320	1.125	160	1.125	yes	kg m-2 s-1	K	%var%_day_EC-EARTH_historical_r6i1p1_19500101-19741231.nc	NA
58	1	ichec_ec_earth	r6i1p1	1975	1	1	2005	12	31	320	1.125	160	1.125	yes	kg m-2 s-1	K	%var%_day_EC-EARTH_historical_r6i1p1_19750101-20051231.nc	NA
59	2	ichec_ec_earth	r8i1p1	1950	1	1	1974	12	31	320	1.125	160	1.125	yes	kg m-2 s-1	K	%var%_day_EC-EARTH_historical_r8i1p1_19500101-19741231.nc	NA
60	2	ichec_ec_earth	r8i1p1	1975	1	1	2005	12	31	320	1.125	160	1.125	yes	kg m-2 s-1	K	%var%_day_EC-EARTH_historical_r8i1p1_19750101-20051231.nc	NA
61	1	inm_inmcm4	r1i1p1	1960	1	1	1969	12	31	180	2	120	1.5	no	kg m-2 s-1	K	%var%_day_inmcm4_historical_r1i1p1_19600101-19691231.nc	NA
62	1	inm_inmcm4	r1i1p1	1970	1	1	1979	12	31	180	2	120	1.5	no	kg m-2 s-1	K	%var%_day_inmcm4_historical_r1i1p1_19700101-19791231.nc	NA
63	1	inm_inmcm4	r1i1p1	1980	1	1	1989	12	31	180	2	120	1.5	no	kg m-2 s-1	K	%var%_day_inmcm4_historical_r1i1p1_19800101-19891231.nc	NA
64	1	inm_inmcm4	r1i1p1	1990	1	1	1999	12	31	180	2	120	1.5	no	kg m-2 s-1	K	%var%_day_inmcm4_historical_r1i1p1_19900101-19991231.nc	NA
65	1	inm_inmcm4	r1i1p1	2000	1	1	2005	12	31	180	2	120	1.5	no	kg m-2 s-1	K	%var%_day_inmcm4_historical_r1i1p1_20000101-20051231.nc	NA
66	1	ipsl_ipsl_cm5a_lr	r1i1p1	1950	1	1	2005	12	31	96	3.75	96	1.875	no	kg m-2 s-1	K	%var%_day_IPSL-CM5A-LR_historical_r1i1p1_19500101-20051231.nc	NA
67	2	ipsl_ipsl_cm5a_lr	r2i1p1	1950	1	1	1999	12	31	96	3.75	96	1.875	no	kg m-2 s-1	K	%var%_day_IPSL-CM5A-LR_historical_r2i1p1_19500101-19991231.nc	NA
68	2	ipsl_ipsl_cm5a_lr	r2i1p1	2000	1	1	2005	12	31	96	3.75	96	1.875	no	kg m-2 s-1	K	%var%_day_IPSL-CM5A-LR_historical_r2i1p1_20000101-20051231.nc	NA
69	3	ipsl_ipsl_cm5a_lr	r3i1p1	1950	1	1	2005	12	31	96	3.75	96	1.875	no	kg m-2 s-1	K	%var%_day_IPSL-CM5A-LR_historical_r3i1p1_19500101-20051231.nc	NA
70	4	ipsl_ipsl_cm5a_lr	r4i1p1	1950	1	1	1999	12	31	96	3.75	96	1.875	no	kg m-2 s-1	K	%var%_day_IPSL-CM5A-LR_historical_r4i1p1_19500101-19991231.nc	NA
71	4	ipsl_ipsl_cm5a_lr	r4i1p1	2000	1	1	2005	12	31	96	3.75	96	1.875	no	kg m-2 s-1	K	%var%_day_IPSL-CM5A-LR_historical_r4i1p1_20000101-20051231.nc	NA
72	1	ipsl_ipsl_cm5a_mr	r1i1p1	1950	1	1	1999	12	31	144	2.5	143	1.258741259	no	kg m-2 s-1	K	%var%_day_IPSL-CM5A-MR_historical_r1i1p1_19500101-19991231.nc	NA
73	1	ipsl_ipsl_cm5a_mr	r1i1p1	2000	1	1	2005	12	31	144	2.5	143	1.258741259	no	kg m-2 s-1	K	%var%_day_IPSL-CM5A-MR_historical_r1i1p1_20000101-20051231.nc	NA
74	1	miroc_miroc_esm	r1i1p1	1850	1	1	2005	12	31	128	2.8125	64	2.8125	yes	kg m-2 s-1	K	%var%_day_MIROC-ESM_historical_r1i1p1_18500101-20051231.nc	NA
75	1	miroc_miroc_esm_chem	r1i1p1	1850	1	1	2005	12	31	128	2.8125	64	2.8125	yes	kg m-2 s-1	K	%var%_day_MIROC-ESM-CHEM_historical_r1i1p1_18500101-20051231.nc	NA
214	1	miroc_miroc5	r1i1p1	1960	1	1	1969	12	31	256	1.40625	128	1.40625	no	kg m-2 s-1	K	%var%_day_MIROC5_historical_r1i1p1_19600101-19691231.nc	NA
215	1	miroc_miroc5	r1i1p1	1970	1	1	1979	12	31	256	1.40625	128	1.40625	no	kg m-2 s-1	K	%var%_day_MIROC5_historical_r1i1p1_19700101-19791231.nc	NA
216	1	miroc_miroc5	r1i1p1	1980	1	1	1989	12	31	256	1.40625	128	1.40625	no	kg m-2 s-1	K	%var%_day_MIROC5_historical_r1i1p1_19800101-19891231.nc	NA
217	1	miroc_miroc5	r1i1p1	1990	1	1	1999	12	31	256	1.40625	128	1.40625	no	kg m-2 s-1	K	%var%_day_MIROC5_historical_r1i1p1_19900101-19991231.nc	NA
218	1	miroc_miroc5	r1i1p1	2000	1	1	2009	12	31	256	1.40625	128	1.40625	no	kg m-2 s-1	K	%var%_day_MIROC5_historical_r1i1p1_20000101-20091231.nc	NA
219	1	mohc_hadcm3	r1i1p1	1959	12	1	1984	11	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r1i1p1_19591201-19841130.nc	*all februaries have 30 days
220	1	mohc_hadcm3	r1i1p1	1984	12	1	2005	12	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r1i1p1_19841201-20051230.nc	*all februaries have 30 days
221	2	mohc_hadcm3	r2i1p1	1959	12	1	1984	11	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r2i1p1_19591201-19841130.nc	*all februaries have 30 days
222	2	mohc_hadcm3	r2i1p1	1984	12	1	2005	12	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r2i1p1_19841201-20051230.nc	*all februaries have 30 days
223	3	mohc_hadcm3	r3i1p1	1959	12	1	1984	11	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r3i1p1_19591201-19841130.nc	*all februaries have 30 days
224	3	mohc_hadcm3	r3i1p1	1984	12	1	2005	12	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r3i1p1_19841201-20051230.nc	*all februaries have 30 days
225	4	mohc_hadcm3	r4i1p1	1959	12	1	1984	11	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r4i1p1_19591201-19841130.nc	*all februaries have 30 days
226	4	mohc_hadcm3	r4i1p1	1984	12	1	2005	12	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r4i1p1_19841201-20051230.nc	*all februaries have 30 days
227	5	mohc_hadcm3	r5i1p1	1959	12	1	1984	11	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r5i1p1_19591201-19841130.nc	*all februaries have 30 days
228	5	mohc_hadcm3	r5i1p1	1984	12	1	2005	12	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r5i1p1_19841201-20051230.nc	*all februaries have 30 days
229	6	mohc_hadcm3	r6i1p1	1959	12	1	1984	11	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r6i1p1_19591201-19841130.nc	*all februaries have 30 days
230	6	mohc_hadcm3	r6i1p1	1984	12	1	2005	12	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r6i1p1_19841201-20051230.nc	*all februaries have 30 days
231	7	mohc_hadcm3	r7i1p1	1959	12	1	1984	11	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r7i1p1_19591201-19841130.nc	*all februaries have 30 days
232	7	mohc_hadcm3	r7i1p1	1984	12	1	2005	12	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r7i1p1_19841201-20051230.nc	*all februaries have 30 days
233	8	mohc_hadcm3	r8i1p1	1959	12	1	1984	11	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r8i1p1_19591201-19841130.nc	*all februaries have 30 days
234	8	mohc_hadcm3	r8i1p1	1984	12	1	2005	12	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r8i1p1_19841201-20051230.nc	*all februaries have 30 days
235	9	mohc_hadcm3	r9i1p1	1959	12	1	1984	11	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r9i1p1_19591201-19841130.nc	*all februaries have 30 days
236	9	mohc_hadcm3	r9i1p1	1984	12	1	2005	12	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r9i1p1_19841201-20051230.nc	*all februaries have 30 days
237	10	mohc_hadcm3	r10i1p1	1959	12	1	1984	11	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r10i1p1_19591201-19841130.nc	*all februaries have 30 days
238	10	mohc_hadcm3	r10i1p1	1984	12	1	2005	12	30	96	3.75	73	2.465753425	all30	kg m-2 s-1	K	%var%_day_HadCM3_historical_r10i1p1_19841201-20051230.nc	*all februaries have 30 days
239	1	mohc_hadgem2_cc	r1i1p1	1959	12	1	1964	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-CC_historical_r1i1p1_19591201-19641130.nc	*all februaries have 30 days
240	1	mohc_hadgem2_cc	r1i1p1	1964	12	1	1969	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-CC_historical_r1i1p1_19641201-19691130.nc	*all februaries have 30 days
241	1	mohc_hadgem2_cc	r1i1p1	1969	12	1	1974	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-CC_historical_r1i1p1_19691201-19741130.nc	*all februaries have 30 days
242	1	mohc_hadgem2_cc	r1i1p1	1974	12	1	1979	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-CC_historical_r1i1p1_19741201-19791130.nc	*all februaries have 30 days
243	1	mohc_hadgem2_cc	r1i1p1	1979	12	1	1984	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-CC_historical_r1i1p1_19791201-19841130.nc	*all februaries have 30 days
244	1	mohc_hadgem2_cc	r1i1p1	1984	12	1	1989	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-CC_historical_r1i1p1_19841201-19891130.nc	*all februaries have 30 days
245	1	mohc_hadgem2_cc	r1i1p1	1989	12	1	1994	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-CC_historical_r1i1p1_19891201-19941130.nc	*all februaries have 30 days
246	1	mohc_hadgem2_cc	r1i1p1	1994	12	1	1999	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-CC_historical_r1i1p1_19941201-19991130.nc	*all februaries have 30 days
247	1	mohc_hadgem2_cc	r1i1p1	1999	12	1	2004	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-CC_historical_r1i1p1_19991201-20041130.nc	*all februaries have 30 days
248	1	mohc_hadgem2_cc	r1i1p1	2004	12	1	2005	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-CC_historical_r1i1p1_20041201-20051130.nc	*all februaries have 30 days
249	1	mohc_hadgem2_es	r1i1p1	1959	12	1	1969	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r1i1p1_19591201-19691130.nc	*all februaries have 30 days
250	1	mohc_hadgem2_es	r1i1p1	1969	12	1	1979	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r1i1p1_19691201-19791130.nc	*all februaries have 30 days
251	1	mohc_hadgem2_es	r1i1p1	1979	12	1	1989	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r1i1p1_19791201-19891130.nc	*all februaries have 30 days
252	1	mohc_hadgem2_es	r1i1p1	1989	12	1	1999	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r1i1p1_19891201-19991130.nc	*all februaries have 30 days
253	1	mohc_hadgem2_es	r1i1p1	1999	12	1	2005	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r1i1p1_19991201-20051130.nc	*all februaries have 30 days
254	2	mohc_hadgem2_es	r2i1p1	1960	1	1	1969	12	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r2i1p1_19600101-19691230.nc	*all februaries have 30 days
255	2	mohc_hadgem2_es	r2i1p1	1970	1	1	1979	12	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r2i1p1_19700101-19791230.nc	*all februaries have 30 days
256	2	mohc_hadgem2_es	r2i1p1	1980	1	1	1989	12	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r2i1p1_19800101-19891230.nc	*all februaries have 30 days
257	2	mohc_hadgem2_es	r2i1p1	1990	1	1	1999	12	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r2i1p1_19900101-19991230.nc	*all februaries have 30 days
258	2	mohc_hadgem2_es	r2i1p1	2000	1	1	2005	12	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r2i1p1_20000101-20051230.nc	*all februaries have 30 days
259	3	mohc_hadgem2_es	r3i1p1	1959	12	1	1969	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r3i1p1_19591201-19691130.nc	*all februaries have 30 days
260	3	mohc_hadgem2_es	r3i1p1	1969	12	1	1979	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r3i1p1_19691201-19791130.nc	*all februaries have 30 days
261	3	mohc_hadgem2_es	r3i1p1	1979	12	1	1989	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r3i1p1_19791201-19891130.nc	*all februaries have 30 days
262	3	mohc_hadgem2_es	r3i1p1	1989	12	1	1999	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r3i1p1_19891201-19991130.nc	*all februaries have 30 days
263	3	mohc_hadgem2_es	r3i1p1	1999	12	1	2005	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r3i1p1_19991201-20051130.nc	*all februaries have 30 days
264	4	mohc_hadgem2_es	r4i1p1	1959	12	1	1969	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r4i1p1_19591201-19691130.nc	*all februaries have 30 days
265	4	mohc_hadgem2_es	r4i1p1	1969	12	1	1979	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r4i1p1_19691201-19791130.nc	*all februaries have 30 days
266	4	mohc_hadgem2_es	r4i1p1	1979	12	1	1989	11	30	192	1.875	145	1.24137931	all30	kg m-2 s-1	K	%var%_day_HadGEM2-ES_historical_r4i1p1_19791201-19891130.nc	*all februaries have 30 days
