"GS","TEST.AV.SUIT","TEST.SD.SUIT","TEST.MAX.SUIT","TEST.MIN.SUIT","TEST.OMISSION.RATE","TEST.ERROR","TEST.ERR.DIST","TEST.MXE","TEST.SLOPE","TRAIN.AV.SUIT","TRAIN.SD.SUIT","TRAIN.MAX.SUIT","TRAIN.MIN.SUIT","TRAIN.OMISSION.RATE","TRAIN.ERROR","TRAIN.ERR.DIST","TRAIN.MXE","TRAIN.SLOPE"
"1",74.634894798884,29.5407181419568,100,0,0.0754226267880364,0.389218164983621,0.666666666666667,0.999998780190571,0.0062036089204228,73.1460304652943,31.4001433351034,100,0,0.0934640522875817,0.413132239016027,0.7,0.999984900614373,0.00557633352422734
"2",85.4571714512858,21.0746310706678,100,0,0.023407022106632,0.255940692661064,0.7,0.999969504558,0.00848287680868026,84.1281504375483,23.0208465867895,100,0,0.0330065359477124,0.279589305368878,0.766666666666667,0.999836982693936,0.00798570359859822
"3",90.8606362510255,16.8775513229296,100,0,0.00650195058517555,0.191835682293055,0.733333333333333,0.982656673875887,0.00935425057285024,89.7177293821098,18.4876579294459,100,0,0.0088235294117647,0.211519948835780,0.833333333333333,0.990433592890619,0.00926812840334051
"4",96.900349238759,8.38191910356871,100,0,0.00130039011703511,0.0893157554712109,0.8,0.670250645295706,0.00662534512673683,96.7098746879428,9.20227093487671,100,0,0.00196078431372549,0.0977133773544939,0.966666666666667,0.697765200635423,0.00684144621070662
"5",97.3121020114933,8.94240438087006,100,0,0.00390117035110533,0.0933206321969298,0.733333333333333,0.643438944486066,0.00612732375279217,97.162491064134,9.80482787947548,100,0,0.00457516339869281,0.102056205178840,0.933333333333333,0.644683542431296,0.00608626371437916
"6",94.39835441004,17.3120750226960,100,0,0.0169050715214564,0.181850663364677,0.733333333333333,0.670250645295706,0.00552079886428286,93.4553473054973,18.4426145446351,100,0,0.0179738562091503,0.195665877589494,0.8,0.755847768785176,0.00632262415298504
"7",90.6501021416197,21.7277031709453,100,0,0.0286085825747724,0.236410610985355,0.733333333333333,0.863611229978369,0.00683076756924645,89.3593129426046,23.0723011308284,100,0,0.0303921568627451,0.254043566366084,0.733333333333333,0.88720073300255,0.00697824266814537
"8",83.3731623477216,31.3302822962145,100,0,0.0663198959687906,0.354508374171425,0.666666666666667,0.939574866453588,0.0059347192613477,81.911939042534,31.9754914881423,100,0,0.0715686274509804,0.367324907539146,0.633333333333333,0.962571190980824,0.00596788695633994
"9",81.182946362638,34.5728854724189,100,0,0.0988296488946684,0.393422366096119,0.533333333333333,0.898518232261873,0.00437619778263175,79.5813212176554,35.241020665534,100,0,0.104575163398693,0.407240238856522,0.6,0.926249969977496,0.00447390908035739
"10",68.8634590377113,37.8641806466258,100,0,0.171651495448635,0.49003224330634,0.666666666666667,0.999998780190571,0.00341949481730811,66.5970721625035,39.1196242141121,100,0,0.191830065359477,0.514354009805084,0.7,0.999921112251187,0.00297613087794845
"11",66.7295188556567,36.8603738634966,100,0,0.171651495448635,0.496371358317145,0.7,0.999940228529367,0.00341890338638686,64.9537879170935,38.0602398681149,100,0,0.183660130718954,0.517334074599207,0.7,0.999999691850326,0.00315132094978541
"12",76.0592905349632,30.3329897105333,100,0,0.0962288686605982,0.386270806323947,0.7,0.999852398066909,0.00548410394867931,75.3835752555747,31.5797326806006,100,0,0.106862745098039,0.400365080275181,0.7,0.999554986144242,0.00514318251906759
"MEAN",85.5882785038148,25.2499218204744,100,0,0.0377113133940182,0.290590294673394,0.666666666666667,0.996824946687824,0.00772855100683115,84.1933359507642,26.7856282944678,100,0,0.0464052287581699,0.310980070778294,0.7,0.999260006156453,0.00735691154287309
"MODE",91.8509313933096,19.8199546891063,100,0,0.0156046814044213,0.214179151646425,0.666666666666667,0.793827178885248,0.00684680376650725,91.478917479671,20.0401726361114,100,0,0.019281045751634,0.217735188242337,0.866666666666667,0.823972203081446,0.00693522859558062
"MAX",83.3599469367177,20.9945069368128,100,0,0.0247074122236671,0.267784897893651,0.766666666666667,0.999940228529367,0.00841240691162994,83.325943367154,21.0550818060991,100,0,0.0176470588235294,0.268550881546408,0.9,0.99996271357088,0.00880752861015868
"MIN",73.444733420026,37.4131616277244,100,0,0.106631989596879,0.458596405566986,0.633333333333333,0.996570838477073,0.00512018340285747,71.8004963095671,38.4769618275055,100,0,0.117647058823529,0.476991067419767,0.733333333333333,0.998532401795386,0.00480780835614591
