"ICRISAT_ac","Table_name","Mission_co","Collectors","Alternate_","Local_name","Species_nu","Cultivar_n","Biological","Donor_coop","Donor_coun","Date_recei","Date_of_co","Source_cou","Province","Location","Latitude","Longitude","Elevation","Genus","Species","Sauthor","Subsp","UID","IS_UNIQUE","TEST_TRAIN"
31527,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 5","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","","Village 3",-3.12,29.32,0,"Sorghum","bicolor","(L.) Moench","bicolor",70,TRUE,"TRAIN"
25513,"ICRISATSOSORGHUM","ICRISAT-MISN-093","PK 81","","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/26/1982","BDI","Bubanza","Bubanza",-3.1,29.389999,820,"Sorghum","bicolor","(L.) Moench","bicolor",71,TRUE,"TRAIN"
31529,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 8","",3565,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","","Village 1",-3.09,29.370001,0,"Sorghum","bicolor","(L.) Moench","bicolor",75,TRUE,"TRAIN"
25482,"ICRISATSOSORGHUM","ICRISAT-MISN-093","PB 18","","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/24/1982","BDI","Muyinga","Muyinga",-2.85,30.33,1500,"Sorghum","bicolor","(L.) Moench","bicolor",79,TRUE,"TRAIN"
25484,"ICRISATSOSORGHUM","ICRISAT-MISN-093","PB 20","","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/24/1982","BDI","Muyinga","Muyinga",-2.85,30.32,1520,"Sorghum","bicolor","(L.) Moench","bicolor",81,TRUE,"TRAIN"
25487,"ICRISATSOSORGHUM","ICRISAT-MISN-093","PB 24","SVR 8 S. vulgare","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/24/1982","BDI","Muyinga","Rugoto",-2.83,30.35,1350,"Sorghum","bicolor","(L.) Moench","bicolor",85,TRUE,"TRAIN"
31534,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 17","Agashari",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","Cibitoke","Rugombo",-2.79,29.08,0,"Sorghum","bicolor","(L.) Moench","bicolor",86,TRUE,"TRAIN"
31530,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 11","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","Kirundo","Kayanga; Vumbi-Bukuba",-2.75,30.129999,0,"Sorghum","bicolor","(L.) Moench","bicolor",89,TRUE,"TRAIN"
25479,"ICRISATSOSORGHUM","ICRISAT-MISN-093","PB 14","","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/23/1982","BDI","Muyinga","Kirondo 14SE",-2.72,30.09,1390,"Sorghum","bicolor","(L.) Moench","bicolor",90,TRUE,"TRAIN"
31537,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 26","Inkonge",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","Kirundo","Kabonga; Busoni",-2.51,30.290001,0,"Sorghum","bicolor","(L.) Moench","bicolor",98,TRUE,"TRAIN"
31562,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 96","Nampigwe",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","","Burara",-2.5,30.23,0,"Sorghum","bicolor","(L.) Moench","bicolor",100,TRUE,"TRAIN"
31566,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 107","Rubonbongor",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","","Kiri Colline",-2.37,30.5,0,"Sorghum","bicolor","(L.) Moench","bicolor",103,TRUE,"TRAIN"
31558,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 92","Mbonouamatama",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","","Sasa",-2.35,29.98,0,"Sorghum","bicolor","(L.) Moench","bicolor",107,TRUE,"TRAIN"
25521,"ICRISATSOSORGHUM","ICRISAT-MISN-093","PK 95","","",3573,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/26/1982","BDI","Bubanza","Shari; Mugerero 32N",-3.25,29.4,1100,"Sorghum","bicolor","(L.) Moench","bicolor",112,TRUE,"TRAIN"
26566,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4322","Dobi boure",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Atlantique","Kouande; Ouidah",6.4,2.06,0,"Sorghum","bicolor","(L.) Moench","bicolor",113,TRUE,"TRAIN"
26419,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 3985","Baba foun foun",3562,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Mono","Dogbo Hahome; Dogbo-Tota",6.8,1.73,0,"Sorghum","bicolor","(L.) Moench","bicolor",114,TRUE,"TRAIN"
26437,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4014","Dobi",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Mono","Tchi-kada; Lalo",6.8,2.03,0,"Sorghum","bicolor","(L.) Moench","bicolor",116,TRUE,"TRAIN"
26601,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4479","",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Zou","Agouna; Djidja",7.56,1.7,0,"Sorghum","bicolor","(L.) Moench","bicolor",119,TRUE,"TRAIN"
26416,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 3981","",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Zou","Paouignan; Dassa",7.66,2.18,0,"Sorghum","bicolor","(L.) Moench","bicolor",120,TRUE,"TRAIN"
26421,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 3987","",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Zou","Boubou; Glazoue",8.01,2.23,0,"Sorghum","bicolor","(L.) Moench","bicolor",124,TRUE,"TRAIN"
26600,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4477","Baba foun foun",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Zou","Doume; Savalou",8.01,1.65,0,"Sorghum","bicolor","(L.) Moench","bicolor",125,TRUE,"TRAIN"
26423,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 3995","",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Zou","Idouya; Ouesse",8.43,2.58,0,"Sorghum","bicolor","(L.) Moench","bicolor",127,TRUE,"TRAIN"
26596,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4464","Dompago",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Zou","Pira; Bante",8.5,1.73,0,"Sorghum","bicolor","(L.) Moench","bicolor",129,TRUE,"TRAIN"
26594,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4458","Anofono",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Atakora","Bassila",9.01,1.66,0,"Sorghum","bicolor","(L.) Moench","bicolor",131,TRUE,"TRAIN"
26430,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4004","Dobi wounkore",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Agrabansou; Tchaourou",9.2,2.23,0,"Sorghum","bicolor","(L.) Moench","bicolor",132,TRUE,"TRAIN"
26429,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4001","Dobi",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Gbetebou; Tchaourou",9.2,2.43,0,"Sorghum","bicolor","(L.) Moench","bicolor",134,TRUE,"TRAIN"
26428,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4000","Dobi",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Barerou; Tchaourou",9.35,2.4,0,"Sorghum","bicolor","(L.) Moench","bicolor",135,TRUE,"TRAIN"
26579,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4371","Kandouaga",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Tiana; Parakou",9.41,2.56,0,"Sorghum","bicolor","(L.) Moench","bicolor",137,TRUE,"TRAIN"
26434,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 401","Dobi",3562,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Sandilo; Perere",9.51,3.15,0,"Sorghum","bicolor","(L.) Moench","bicolor",139,TRUE,"TRAIN"
26433,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4010","Dobi",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Guinagourou; Perere",9.57,2.95,0,"Sorghum","bicolor","(L.) Moench","bicolor",140,TRUE,"TRAIN"
26435,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4012","",3562,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Diguidirou; Perere",9.61,3.13,0,"Sorghum","bicolor","(L.) Moench","bicolor",142,TRUE,"TRAIN"
26436,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4013","Gaouri bellki",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Santou; Perere",9.71,2.85,0,"Sorghum","bicolor","(L.) Moench","bicolor",143,TRUE,"TRAIN"
26589,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4420","Za",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Atakora","Taneka-Koko; Copargo",9.86,1.5,0,"Sorghum","bicolor","(L.) Moench","bicolor",144,TRUE,"TRAIN"
26458,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4054","Dobi soen",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Sakarou; Ndali",9.88,2.78,0,"Sorghum","bicolor","(L.) Moench","bicolor",145,TRUE,"TRAIN"
26445,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4027","",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Nikki-wenou; Nikki",9.9,3.26,0,"Sorghum","bicolor","(L.) Moench","bicolor",147,TRUE,"TRAIN"
26588,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4419","Dobi farou",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Atakora","Birni; Kouande",10,1.51,0,"Sorghum","bicolor","(L.) Moench","bicolor",148,TRUE,"TRAIN"
26454,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4046","Saade",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Sakabansi; Nikki",10.03,3.38,0,"Sorghum","bicolor","(L.) Moench","bicolor",149,TRUE,"TRAIN"
26459,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4059","",3562,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Guessou sud; Bembereke",10.05,2.63,0,"Sorghum","bicolor","(L.) Moench","bicolor",150,TRUE,"TRAIN"
26452,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4040","Esse poua",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Sakabansi; Nikki",10.05,3.38,0,"Sorghum","bicolor","(L.) Moench","bicolor",151,TRUE,"TRAIN"
26438,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4015","Dobi piki",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Derassi; Kalale",10.16,3.25,0,"Sorghum","bicolor","(L.) Moench","bicolor",153,TRUE,"TRAIN"
26461,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4061","Gaouri",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Siki; Sinende",10.18,2.38,0,"Sorghum","bicolor","(L.) Moench","bicolor",155,TRUE,"TRAIN"
26448,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4030","Dobi soarou",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Bouka Gando; Kalale",10.2,3.16,0,"Sorghum","bicolor","(L.) Moench","bicolor",157,TRUE,"TRAIN"
26465,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4071","",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Bembereke",10.21,2.66,0,"Sorghum","bicolor","(L.) Moench","bicolor",158,TRUE,"TRAIN"
26439,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4017","",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Bessassi; Kalale",10.21,3.16,0,"Sorghum","bicolor","(L.) Moench","bicolor",159,TRUE,"TRAIN"
26498,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4134","",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Angaradebou; Kalale",10.25,3.25,0,"Sorghum","bicolor","(L.) Moench","bicolor",161,TRUE,"TRAIN"
26586,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4401","Tiyomiiti",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Atakora","Kouaba; Natingou",10.25,1.23,0,"Sorghum","bicolor","(L.) Moench","bicolor",163,TRUE,"TRAIN"
26560,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4294","Toko bessenou",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Atakora","Mekrou-gourou; Kouande",10.26,1.81,0,"Sorghum","bicolor","(L.) Moench","bicolor",164,TRUE,"TRAIN"
26562,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4304","Maagani",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Atakora","Niekene; Kouande",10.3,1.65,0,"Sorghum","bicolor","(L.) Moench","bicolor",165,TRUE,"TRAIN"
26587,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4415","Yoapega",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Atakora","Natitingou",10.31,1.36,0,"Sorghum","bicolor","(L.) Moench","bicolor",166,TRUE,"TRAIN"
26462,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4062","Dobi",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Sinende",10.35,2.38,0,"Sorghum","bicolor","(L.) Moench","bicolor",168,TRUE,"TRAIN"
26469,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4088","Sakara bokourou",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Gamia; Bembereke",10.4,2.73,0,"Sorghum","bicolor","(L.) Moench","bicolor",171,TRUE,"TRAIN"
26442,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4022","",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Gawinzi; Kalale",10.4,3.56,0,"Sorghum","bicolor","(L.) Moench","bicolor",172,TRUE,"TRAIN"
26470,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4090","Toko bessenou",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Boke; Bembereke",10.45,2.81,0,"Sorghum","bicolor","(L.) Moench","bicolor",174,TRUE,"TRAIN"
26567,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4324","Toko bessenou",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Atakora","Kabare; Kouande",10.46,1.7,0,"Sorghum","bicolor","(L.) Moench","bicolor",175,TRUE,"TRAIN"
26565,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4308","Dobi pika",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Atakora","Toukountouna",10.49,1.38,0,"Sorghum","bicolor","(L.) Moench","bicolor",176,TRUE,"TRAIN"
26441,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4021","Esse",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Basso; Kalale",10.5,3.68,0,"Sorghum","bicolor","(L.) Moench","bicolor",177,TRUE,"TRAIN"
26444,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4025","",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Kalele; Bembereke",10.5,2.88,0,"Sorghum","bicolor","(L.) Moench","bicolor",178,TRUE,"TRAIN"
26446,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4028","Toko bessenou",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Kouri; Sinende",10.51,2.46,0,"Sorghum","bicolor","(L.) Moench","bicolor",179,TRUE,"TRAIN"
26467,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4073","Sakara bokourou",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Beroubouay; Bembereke",10.53,2.73,0,"Sorghum","bicolor","(L.) Moench","bicolor",181,TRUE,"TRAIN"
26569,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4327","Soteya",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Atakora","Tchakalakou; Tchoukoutouna",10.55,1.33,0,"Sorghum","bicolor","(L.) Moench","bicolor",182,TRUE,"TRAIN"
26581,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4385","Kahorsossou",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Atakora","Tanguieta; Atakora",10.61,1.26,0,"Sorghum","bicolor","(L.) Moench","bicolor",183,TRUE,"TRAIN"
26553,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4271","Dobi soarou",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Atakora","Yakrigourou; Kerou",10.71,2.03,0,"Sorghum","bicolor","(L.) Moench","bicolor",184,TRUE,"TRAIN"
26548,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4251","Maali",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Kerou; Gogounou",10.78,2.71,0,"Sorghum","bicolor","(L.) Moench","bicolor",185,TRUE,"TRAIN"
26480,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","SG 4105","Gba'e gban loua",3568,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0288","FRA","10/31/1983","","BEN","Borgou","Libante; Segbana",10.8,3.58,0,"Sorghum","bicolor","(L.) Moench","bicolor",186,TRUE,"TRAIN"
