"ICRISAT_ac","Table_name","Mission_co","Collectors","Alternate_","Local_name","Species_nu","Cultivar_n","Biological","Donor_coop","Donor_coun","Date_recei","Date_of_co","Source_cou","Province","Location","Latitude","Longitude","Elevation","Genus","Species","Sauthor","Subsp","UID","IS_UNIQUE","TEST_TRAIN"
31550,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 65","Amashirahamwe",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","","Ntaho",-4.2,29.98,0,"Sorghum","bicolor","(L.) Moench","bicolor",1,TRUE,"TRAIN"
25454,"ICRISATSOSORGHUM","ICRISAT-MISN-093","P 31","","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/24/1982","BDI","Rutana","Kiofi 23SW",-4.13,29.790001,1350,"Sorghum","bicolor","(L.) Moench","bicolor",2,TRUE,"TRAIN"
25490,"ICRISATSOSORGHUM","ICRISAT-MISN-093","PB 29","","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/24/1982","BDI","Rutana","Kiofi",-3.98,30.120001,1250,"Sorghum","bicolor","(L.) Moench","bicolor",18,TRUE,"TRAIN"
31553,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 76","Amahwera",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","Rutana","Murama; Bukemba",-3.98,30.040001,0,"Sorghum","bicolor","(L.) Moench","bicolor",26,TRUE,"TRAIN"
25470,"ICRISATSOSORGHUM","ICRISAT-MISN-093","PB 1","","Yamahonda",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/23/1982","BDI","Muramvya","Bugarama",-3.93,30.139999,1800,"Sorghum","bicolor","(L.) Moench","bicolor",30,TRUE,"TRAIN"
25498,"ICRISATSOSORGHUM","ICRISAT-MISN-093","PB 64","","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/25/1982","BDI","Ruyigi","Kiharo",-3.77,30.219999,1300,"Sorghum","bicolor","(L.) Moench","bicolor",33,TRUE,"TRAIN"
31564,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 100","Gatwe",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","Bubanza","Mugongo",-3.73,29.51,0,"Sorghum","bicolor","(L.) Moench","bicolor",41,TRUE,"TRAIN"
31548,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 60","Mirishoyingoma",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","Ruyigi","Munazi",-3.68,30.33,0,"Sorghum","bicolor","(L.) Moench","bicolor",42,TRUE,"TRAIN"
31541,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 39","Amahonda atukura",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","","Busebwa",-3.6,29.379999,0,"Sorghum","bicolor","(L.) Moench","bicolor",43,TRUE,"TRAIN"
31544,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 52","Amabogobogo",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","Ruyigi","Nyarumuli",-3.6,30.280001,0,"Sorghum","bicolor","(L.) Moench","bicolor",44,TRUE,"TRAIN"
31549,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 62","Agatara",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","","Rugwe",-3.59,30.4,0,"Sorghum","bicolor","(L.) Moench","bicolor",47,TRUE,"TRAIN"
25524,"ICRISATSOSORGHUM","ICRISAT-MISN-093","PK 103","","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/27/1982","BDI","Bujumbura","Kabezi",-3.49,29.34,920,"Sorghum","bicolor","(L.) Moench","bicolor",48,TRUE,"TRAIN"
31552,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 75","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","","Mwiruzi",-3.4,30.459999,0,"Sorghum","bicolor","(L.) Moench","bicolor",51,TRUE,"TRAIN"
31547,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 57","Nangoma et amayogama",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","","Ruveri",-3.37,30.26,0,"Sorghum","bicolor","(L.) Moench","bicolor",52,TRUE,"TRAIN"
25522,"ICRISATSOSORGHUM","ICRISAT-MISN-093","PK 98","","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/27/1982","BDI","Bujumbura","Ruzeba",-3.34,29.4,820,"Sorghum","bicolor","(L.) Moench","bicolor",53,TRUE,"TRAIN"
31543,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 48","Amabogobogo",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","Muramvya","Kibimba",-3.3,29.799999,0,"Sorghum","bicolor","(L.) Moench","bicolor",55,TRUE,"TRAIN"
25520,"ICRISATSOSORGHUM","ICRISAT-MISN-093","PK 93","","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/26/1982","BDI","Bubanza","Kuruvumbu",-3.25,29.42,1100,"Sorghum","bicolor","(L.) Moench","bicolor",56,TRUE,"TRAIN"
31542,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 43","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","Muramvya","Buyaga",-3.23,29.73,0,"Sorghum","bicolor","(L.) Moench","bicolor",60,TRUE,"TRAIN"
25506,"ICRISATSOSORGHUM","ICRISAT-MISN-093","PB 73","","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/26/1982","BDI","Bubanza","Mugerero",-3.21,30.09,820,"Sorghum","bicolor","(L.) Moench","bicolor",61,TRUE,"TRAIN"
31551,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 69","Urusare",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","","Ruhungere",-3.2,30.43,0,"Sorghum","bicolor","(L.) Moench","bicolor",65,TRUE,"TRAIN"
