var	mon	model	scen	ensemble	un	period
pr	Amon	CanESM5	historical	r25i1p1f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r25i1p2f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r2i1p1f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r2i1p2f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r3i1p1f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r3i1p2f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r4i1p1f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r4i1p2f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r5i1p1f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r5i1p2f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r6i1p1f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r6i1p2f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r7i1p1f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r7i1p2f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r8i1p1f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r8i1p2f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r9i1p1f1	gn	185001-201412.nc
pr	Amon	CanESM5	historical	r9i1p2f1	gn	185001-201412.nc
pr	Amon	CanESM5	ssp126	r1i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp126	r1i1p1f1	gn	210101-230012.nc
pr	Amon	CanESM5	ssp245	r1i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r10i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r10i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r13i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r14i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r15i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r18i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r19i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r1i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r1i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r2i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r2i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r3i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r3i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r4i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r4i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r5i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r5i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r6i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r6i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r7i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r7i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r8i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r8i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r9i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp370	r9i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp460	r1i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp460	r2i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp460	r3i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp460	r4i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp460	r5i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r10i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r10i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r1i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r1i1p1f1	gn	210101-218012.nc
pr	Amon	CanESM5	ssp585	r1i1p1f1	gn	218101-230012.nc
pr	Amon	CanESM5	ssp585	r1i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r25i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r2i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r2i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r3i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r3i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r4i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r4i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r5i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r5i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r6i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r6i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r7i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r7i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r8i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r8i1p2f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r9i1p1f1	gn	201501-210012.nc
pr	Amon	CanESM5	ssp585	r9i1p2f1	gn	201501-210012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	185401-185412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	185501-185512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	185601-185612.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	185701-185712.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	185801-185812.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	185901-185912.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	186001-186012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	186101-186112.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	186201-186212.nc
pr	Amon	CESM2-WACCM	historical	r2i1p1f1	gn	185001-201412.nc
pr	Amon	CESM2-WACCM	historical	r3i1p1f1	gn	185001-201412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	186301-186312.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	186401-186412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	186501-186512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	186601-186612.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	186701-186712.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	186801-186812.nc
pr	Amon	CESM2-WACCM	ssp370	r2i1p1f1	gn	201501-205512.nc
pr	Amon	CESM2-WACCM	ssp370	r3i1p1f1	gn	201501-205512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	186901-186912.nc
pr	Amon	CESM2	historical	r11i1p1f1	gn	185001-189912.nc
pr	Amon	CESM2	historical	r11i1p1f1	gn	190001-194912.nc
pr	Amon	CESM2	historical	r11i1p1f1	gn	195001-199912.nc
pr	Amon	CESM2	historical	r11i1p1f1	gn	200001-201412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	187001-187012.nc
pr	Amon	CESM2	historical	r2i1p1f1	gn	185001-201412.nc
pr	Amon	CESM2	historical	r3i1p1f1	gn	185001-201412.nc
pr	Amon	CESM2	historical	r4i1p1f1	gn	185001-201412.nc
pr	Amon	CESM2	historical	r5i1p1f1	gn	185001-201412.nc
pr	Amon	CESM2	historical	r6i1p1f1	gn	185001-201412.nc
pr	Amon	CESM2	historical	r7i1p1f1	gn	185001-189912.nc
pr	Amon	CESM2	historical	r7i1p1f1	gn	190001-194912.nc
pr	Amon	CESM2	historical	r7i1p1f1	gn	195001-199912.nc
pr	Amon	CESM2	historical	r7i1p1f1	gn	200001-201412.nc
pr	Amon	CESM2	historical	r8i1p1f1	gn	185001-189912.nc
pr	Amon	CESM2	historical	r8i1p1f1	gn	190001-194912.nc
pr	Amon	CESM2	historical	r8i1p1f1	gn	195001-199912.nc
pr	Amon	CESM2	historical	r8i1p1f1	gn	200001-201412.nc
pr	Amon	CESM2	historical	r9i1p1f1	gn	185001-201412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	187101-187112.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	187201-187212.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	187301-187312.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	187401-187412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	187501-187512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	187601-187612.nc
pr	Amon	CESM2	ssp370	r2i1p1f1	gn	201501-206412.nc
pr	Amon	CESM2	ssp370	r2i1p1f1	gn	206501-210012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	187701-187712.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	187801-187812.nc
pr	Amon	CESM2	ssp585	r2i1p1f1	gn	201501-206412.nc
pr	Amon	CESM2	ssp585	r2i1p1f1	gn	206501-210012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	187901-187912.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	188001-188012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	188101-188112.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	188201-188212.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	188301-188312.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	188401-188412.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	188501-188512.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	188601-188612.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	188701-188712.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	188801-188812.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	188901-188912.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	189001-189012.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	189101-189112.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	189201-189212.nc
tasmax	Amon	AWI-CM-1-1-MR	historical	r1i1p1f1	gn	189301-189312.nc
