idrow,idcell,x,y,P1,P2,P3,P4,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19
1219,1219,-77.66666128,21.0000009,255.125,107.5,65.1875,1812.375,167.75,163.875,269.75,228.125,276.125,228.125,1360.75,216.75,21.3125,64.125,565.375,78.0625,506.75,78.0625
1220,1220,-76.9999945,21.0000009,258.5333252,109,66.59999847,1731.800049,171.3333282,162.2666626,272.6666565,233.6000061,278,233.1333313,1124.199951,172.1333313,21.66666603,61.53333282,452.8666687,77.93333435,406,78.59999847
1221,1221,-76.33332772,21.0000009,259.0833435,98.75,64.08333588,1730.083374,180,152.6666718,268.75,237,279.9166565,234.8333282,1016,158.25,27,54.08333206,392,95.08333588,291.25,109.0833359
1222,1222,-75.66666094,21.0000009,259,85,60.75,1717.75,188,138.25,263.25,240.25,280.25,236,1066.25,162.5,40.75,45.25,414.25,149.5,232.5,184.5
1225,1225,-73.66666061,21.0000009,258.25,79.5,62,1606.25,194.75,127.25,265.5,237.5,277.5,237,700,114.5,17.75,52.5,299,98.75,189.25,102.25
1226,1226,-72.99999383,21.0000009,259,78,61.5,1631,196,125.5,266.5,237.5,278,237,735,105.5,20,45.5,306.5,115,177.5,131.5
1267,1267,-105.6666659,20.3333343,245.8000031,129.3999939,70.19999695,1995.800049,140.6000061,183.1999969,267.2000122,234.1999969,267.6000061,218.6000061,1245.599976,334.2000122,2.599999905,115.4000015,897.5999756,15.19999981,773.2000122,40.79999924
1268,1268,-104.9999992,20.3333343,204.0625,141.5625,66.4375,1976.125,91.375,211.5,221.625,191.375,225.25,176.375,1331.25,321.5625,5.375,107.75,893,26.25,701.125,65.25
1269,1269,-104.3333324,20.3333343,185.6875,150,64.75,2042.75,69.875,229.9375,203.375,175.6875,208.3125,156.4375,1011.1875,254.625,5.625,102.125,635,26.4375,458.3125,56.625
1270,1270,-103.6666656,20.3333343,189.75,152.8125,62.5,2263.75,67.6875,242.5625,209.875,182.4375,215.0625,157.375,848.875,209.4375,6.125,103.8125,540.8125,23.0625,373.25,40.375
1271,1271,-102.9999988,20.3333343,194.875,157.125,63.1875,2389.5625,66.25,246.75,215.375,189,221,160.4375,834.0625,213.125,4.375,108.5625,550.8125,19.5,290.875,34.375
1272,1272,-102.3333321,20.3333343,189.375,160.625,62.8125,2462.6875,58.75,253.5,208.6875,183.6875,217.0625,153.875,870.625,220,5.25,107.5,572.5,21.3125,236.9375,31.8125
1273,1273,-101.6666653,20.3333343,197.625,160.875,63,2450.8125,66.8125,253.75,213.9375,194.5625,226.625,162.875,753.6875,190.25,4.8125,107.25,494.125,20.3125,170.8125,27.0625
1274,1274,-100.9999985,20.3333343,185.5625,158.5625,64.125,2458.4375,58.5,245.9375,204.25,175.75,213.375,150.6875,705.5625,158.5,6.3125,100.125,438.9375,26.1875,187.4375,29.4375
1275,1275,-100.3333317,20.3333343,168.625,160.75,66.4375,2185.75,46.0625,240,185.75,148.75,193.9375,138.25,696.1875,153.125,6.0625,93.875,419.375,29.25,197.1875,31.3125
1276,1276,-99.66666494,20.3333343,165.125,164.3125,67.0625,2268,40.125,243.25,184.1875,137.3125,190.1875,133.3125,604,125.25,6.1875,82.8125,333.125,29,197.9375,36.25
1277,1277,-98.99999817,20.3333343,157.3125,151.0625,66.0625,2079.625,41.0625,226.625,170.9375,131.75,181.0625,128.3125,656.3125,130.125,10.0625,74.8125,319.1875,38.9375,212.25,49.5
1278,1278,-98.33333139,20.3333343,174.9375,134.5,62.25,2402.375,63.9375,214.5625,190.5625,146.75,201.5,141.375,1463.125,288.0625,29.3125,76.5,747.375,98.3125,477.9375,110.0625
