idrow,idcell,x,y,P1,P2,P3,P4,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19
1,1,-109.6666666,29.6666667,204.0625,176.5625,50.5,6074.6875,29.6875,346.375,271.125,197.4375,278.375,125,535.625,147.1875,4.9375,92.4375,316.5625,35.3125,291,100.9375
2,2,-108.9999998,29.6666667,185.1875,177.625,50.25,6145.375,10.625,350.1875,252.125,180.9375,260.3125,104.9375,573.625,149.3125,5.9375,85.75,328.3125,35.5625,300,111.8125
3,3,-108.3333331,29.6666667,123.25,174.6875,51.4375,5774,-42.8125,337.75,187.375,119,195.6875,48.875,617.125,152.1875,9.375,85.1875,360.3125,41.1875,324.375,104
4,4,-107.6666663,29.6666667,135.75,181.5,51.125,6032.75,-38.375,351.5625,202,123.875,211.375,57.5625,423,106.1875,5.6875,96.6875,276.625,27,234.8125,46.9375
5,5,-106.9999995,29.6666667,147.9375,180.75,51.1875,6040.5625,-26.8125,350.125,212.4375,115.4375,222.5625,69.0625,375.75,96.25,5.5625,101,252.875,22,214.125,29.875
6,6,-106.3333327,29.6666667,160.8125,179.0625,50.8125,6156.5,-18.3125,349.25,225.625,120.25,235.75,79.375,350.5625,88.5,4.4375,102.75,239,18.875,200.8125,22.9375
7,7,-105.6666659,29.6666667,171.9375,166.125,47.4375,6591.875,-9.8125,346.1875,241.5,104.0625,251.4375,83.9375,269.4375,83.5625,1.625,115.125,193.0625,7.6875,166.875,10.75
8,8,-104.9999992,29.6666667,185.125,165.625,46.125,6928.375,-3.4375,355.3125,258.5,107.375,268.5625,92.5,309.5625,73.625,3.4375,98.125,201,13.75,169.5625,16.375
9,9,-104.3333324,29.6666667,191.25,173.5,47.5625,6927.625,1,361.25,264.875,120.5625,275.1875,98.5625,303.125,61.0625,5,78.6875,169.125,20.6875,147.5625,25.125
10,10,-103.6666656,29.6666667,183.1875,167.3125,47.6875,6630.1875,-0.6875,346.9375,253.25,111.25,263.4375,94.0625,347,61.25,7.0625,70.125,176.0625,26.5,160.8125,30.6875
11,11,-102.9999988,29.6666667,193.3125,162.375,46.5625,6799,5.4375,345.3125,262.0625,120.4375,274.8125,100.9375,329.1875,55.375,7.5,61.6875,147.125,28.3125,135.75,31.6875
12,12,-102.3333321,29.6666667,201.0625,150.3125,44.75,6725.8125,17,332.25,255.9375,128.4375,280.5,108.875,306.9375,54.0625,7.3125,57.8125,132.75,29.125,114,31.5
13,13,-101.6666653,29.6666667,207.875,143.4375,42.5,6964.5,23.625,334,259.25,121.875,290.8125,112.8125,355.25,65.125,9.3125,55.4375,155,36.0625,116,40.25
14,14,-100.9999985,29.6666667,202.5625,137.9375,41.125,6921.0625,23.1875,331.0625,251.25,116.8125,285.4375,108.3125,457.0625,80.9375,12.1875,54,179.3125,45.25,133.0625,51.5
15,15,-100.3333317,29.6666667,191.0625,140.4375,41.9375,6753.375,12.6875,331.25,241.75,100.875,272,98.3125,616.5,79.3125,22.25,41.25,215.4375,78.3125,197.625,78.5
16,16,-99.66666494,29.6666667,187.5625,137.4375,41.5,6704.5,11.875,327.4375,235.25,99.6875,267.875,95.6875,686.8125,88.0625,29.875,36.6875,234.5,99.5,208.75,99.6875
17,17,-98.99999817,29.6666667,194.5,132,41.0625,6573.9375,27.875,317.6875,233.4375,108.1875,273.875,105.375,749.4375,99.625,37.25,33,249,125.9375,199.5,126.75
18,18,-98.33333139,29.6666667,198.0625,125.75,39.5,6656.1875,34.625,314.5625,235.5625,119.1875,279.5,108.625,811,105.25,43.25,31.0625,265,146.0625,196.4375,149.25
19,19,-97.66666461,29.6666667,200.8125,128.875,39.5625,6709.5625,34.3125,321.625,238.4375,125.875,282.25,109.5625,868.625,114.9375,42,32.5,293.375,159.9375,202.1875,165.1875
20,20,-96.99999783,29.6666667,201.125,124.75,39.1875,6564.5,38.9375,314.25,237.3125,127.25,281.25,111.8125,970.5,125.5625,53.5625,27.5625,309.875,189.125,226.25,198.9375
21,21,-96.33333106,29.6666667,200.8125,125.4375,39.75,6510.1875,39.4375,311.5625,224.9375,146.1875,279.75,111.75,1044,127.5625,59.5625,24.1875,312.6875,205.8125,251.4375,223.3125
22,22,-95.66666428,29.6666667,202.625,110.5,37.8125,6305.25,51.375,287.625,248.625,163.875,279.0625,116.375,1138.1875,131.9375,66.125,21,337.4375,216.8125,309.0625,244.625
23,23,-94.9999975,29.6666667,204,103.2307663,36.92307663,6226.077148,57,276.7692261,268.4615479,164.5384674,279.4615479,119.8461533,1259.076904,147.9230804,72,20.23077011,374.9230652,240.1538391,354.1538391,278.5384521
24,24,-94.33333072,29.6666667,202.8181763,102.8181839,37.09090805,6244.63623,56.63636398,274.1818237,271.8181763,163,278.2727356,118.272728,1349.181763,154.0909119,78.27272797,19,400.6363525,252.8181763,383.7272644,310.9090881
25,25,-93.66666394,29.6666667,200.75,98.375,35.875,6268.25,54.75,270.5,272.625,161.125,275.625,115.25,1443.5,156,85.75,19.125,444.625,268.625,437.5,340.875
26,26,-92.99999717,29.6666667,200.3333282,99.1111145,36.44444275,6200.444336,55.77777863,268.555542,271.1111145,161.222229,274.555542,116.1111145,1466.333374,164.6666718,89.33333588,19.11111069,459.777771,287.8888855,454.8888855,348
27,27,-92.33333039,29.6666667,198.3333282,102.75,37.25,6175.25,52.16666794,270.8333435,270.5833435,160,272.0833435,114.1666641,1525.666626,187,96,22.5,503.9166565,298,501.9166565,353.0833435
28,28,-91.66666361,29.6666667,199,106.5999985,39.09999847,5997.799805,53.5,269.2999878,270.7999878,161.8999939,271.1000061,117.8000031,1561.5,194.3000031,93,24,529.9000244,316.3999939,529.7999878,362.2999878
29,29,-90.99999683,29.6666667,201.6875,109.25,40.3125,5817.5,58.4375,267.5,269.25,165.4375,272,123.6875,1613.0625,197.875,89.25,21.8125,527.625,324.8125,521.8125,385.5625
30,30,-90.33333006,29.6666667,203.5,104.25,38.875,5805.125,61.125,264.6875,270.5,168.5,273.5625,125.3125,1586.4375,180.625,84.9375,18.6875,498.6875,319.6875,484.5625,390.125
31,31,-89.66666328,29.6666667,203,98.125,36.75,5924.625,61.375,263,270.875,168.75,273.75,123,1553.75,167.25,81.25,17.625,479.75,323.25,452.125,396.75
37,37,-85.66666261,29.6666667,200,110,41,5867,57,265,269,166,271,123,1517,207,75,33,575,287,549,321
38,38,-84.99999583,29.6666667,200.5,114.6666641,42.33333206,5795.666504,55.66666794,268,268.1666565,166.5,270.5,123.5,1517,205.6666718,78.5,34.33333206,583.333313,276.1666565,547.666687,318.5
39,39,-84.33332906,29.6666667,200.5,124,44.5,5797,51,276,268.5,166,270.5,123,1498.5,205,79,33,558.5,258.5,548,320
40,40,-83.66666228,29.6666667,201,133,46.66666794,5651.333496,47.33333206,282.1666565,268.6666565,168.3333282,268.6666565,124.5,1396.166626,206.6666718,58,40.83333206,562.833313,214.6666718,562.833313,298
41,41,-82.9999955,29.6666667,202.5625,135.75,48.0625,5485.1875,48.9375,280.375,267.9375,173.1875,267.9375,128.1875,1121.6875,168.5,43.125,41.9375,456.9375,172.3125,456.9375,246.25
42,42,-82.33332872,29.6666667,203.875,130.1875,47.25,5340,55.75,272.5,267.4375,172.875,267.4375,131.5625,1329.8125,197.3125,55.75,41.5625,542.25,192.875,542.25,268.1875
43,43,-81.66666194,29.6666667,207.1875,117.0625,44.75,5197.6875,67.8125,259.4375,268.0625,156.0625,268.875,137,1299.125,178.4375,58.375,39.625,512.9375,203.1875,502.3125,236.1875
44,44,-80.99999517,29.6666667,210,109,43.5,4972.5,76.5,246.5,268,155,269,143,1274.5,169,61.5,37.5,488.5,203,468.5,229
91,91,-109.6666666,29.0000001,223.4375,173.125,51.9375,5540.75,55.9375,330.5,282.3125,217.4375,289.3125,150.0625,575.8125,164.4375,4.875,100.375,362.4375,29.0625,336.75,100.3125
92,92,-108.9999998,29.0000001,195.5625,176,52.25,5582.3125,26.6875,334.1875,255.1875,190.625,262.75,122.1875,637.75,180.375,6.0625,96.875,391.125,33.8125,373.25,108.25
93,93,-108.3333331,29.0000001,136.375,177.1875,54.5625,5180.0625,-26.4375,322.875,194.375,131,200.75,69.4375,695.9375,172.6875,10.0625,85.9375,405.75,46,369.9375,121.625
94,94,-107.6666663,29.0000001,128.75,190.25,53.75,5628.9375,-47.75,350.0625,191.5,116.5625,199.875,55.625,501.625,132.25,6.8125,102.25,339,27.5,285.1875,57.5
95,95,-106.9999995,29.0000001,132.75,182.125,52.625,5666.875,-42.125,343.25,192.375,98.375,201.8125,57.1875,472.875,123.4375,5.625,106.75,329.25,21.875,281.4375,34.3125
96,96,-106.3333327,29.0000001,153.5,170.0625,50.25,5864.75,-21.4375,335.1875,212.75,111.0625,223,74.5625,435.5625,114.75,4.75,106.8125,304.5,18.3125,256.625,23.875
97,97,-105.6666659,29.0000001,181.25,160.625,46.4375,6409.0625,0.6875,341.5,246.4375,116.6875,257.8125,95,306.3125,80.125,3.125,103.4375,205.5,12.9375,172.625,16.9375
98,98,-104.9999992,29.0000001,190.25,162.25,45.9375,6728.625,3.25,349.125,260.3125,114.5,270.5,99.4375,301.6875,67.125,3.25,94.875,192.9375,14.4375,163.9375,19.6875
99,99,-104.3333324,29.0000001,184.5,159.75,47,6360.25,6.625,336.125,249.5625,119.375,260,97.875,319.75,68.3125,5.5,88.9375,197,20.5,172.4375,23.9375
100,100,-103.6666656,29.0000001,200.0625,161.0625,45.9375,6734.3125,14.1875,347.25,268.875,122.6875,279.625,108.1875,286,57.6875,6.375,74.9375,156,22,141.125,23.625
101,101,-102.9999988,29.0000001,200.75,150.9375,45.875,6372.625,24.0625,326.0625,271.4375,131.9375,275.375,113,285.25,47.9375,6.75,62.0625,130.625,26.6875,126.625,29.5
102,102,-102.3333321,29.0000001,183.3125,133.9375,46.875,5336.9375,29.375,282.8125,236.8125,123.0625,243.75,108.3125,364.6875,78,6.6875,71.25,182.0625,30.25,149.75,33.125
103,103,-101.6666653,29.0000001,207.4375,135.0625,44.8125,5921.8125,43.75,298,264.1875,136,275.875,125.4375,325.375,69.0625,6.9375,66.125,148,25.9375,117.3125,30.8125
104,104,-100.9999985,29.0000001,214.4375,131,40.6875,6735.4375,44,318.5,262.5,130.1875,295.25,122.875,453.4375,85.4375,12.75,57.9375,178.3125,43.5625,131.9375,49.8125
105,105,-100.3333317,29.0000001,209.5,134.125,40.6875,6760,35.5625,324.1875,252.625,126.0625,290.0625,116.5,539.6875,77.9375,20.875,45.4375,193.6875,69.4375,155.875,71.6875
106,106,-99.66666494,29.0000001,209.0625,134.9375,41.375,6600.5625,36.375,322.6875,251.6875,133.9375,287.3125,117.8125,592.75,82.5,25.25,40.625,207.125,85.0625,172.6875,86.5
107,107,-98.99999817,29.0000001,209.6875,135.75,42.125,6437.5625,41.0625,318.4375,250.5625,136.5625,286.125,120.5,658,92.75,29.4375,39.125,227.6875,101.875,177.875,104.9375
108,108,-98.33333139,29.0000001,209.0625,131.3125,41,6487.5625,41.9375,316.625,250.5,135.4375,287.125,120.3125,698.625,96.8125,29.8125,35.375,228.375,116.3125,178,123.125
109,109,-97.66666461,29.0000001,209.0625,129.375,41.0625,6253.4375,45.6875,310.375,248.4375,138.1875,284.0625,122.875,823.125,116.8125,38.1875,34.125,268.5625,143.625,205.125,151.375
110,110,-96.99999783,29.0000001,208.8125,117.9375,39.4375,6191.75,52.9375,295.5625,251.5625,138.4375,283.5625,124.0625,947.4375,125.75,49.125,30.625,305.3125,166.625,246.1875,174.8125
111,111,-96.33333106,29.0000001,207.25,111.4375,38.8125,6112.75,56.5,284.125,255.75,162.6875,280.5625,123.375,1084,145.9375,56.0625,28.125,338.6875,193.8125,290.5625,214.1875
112,112,-95.66666428,29.0000001,206.1428528,104.9285736,37.42856979,6055.714355,57.2857132,276.5714417,273.6428528,167.4285736,278.2857056,122.5714264,1247.285767,169.1428528,64,27.2142849,398.8571472,211.5714264,364.2142944,255.8571472
113,113,-94.9999975,29.0000001,206.3333282,93.33333588,35,6056.333496,63.33333206,264,276.3333435,166.3333282,278.3333435,123.3333359,1216.333374,173,62,28,404.3333435,213.3333282,361.6666565,262
119,119,-90.99999683,29.0000001,206,97.66666412,38.33333206,5627.166504,70.16666412,252,270.3333435,171.8333282,273.3333435,130.1666718,1572.666626,201.1666718,89.16666412,26.5,553.166687,309.5,532.666687,354.8333435
120,120,-90.33333006,29.0000001,206.5,94.5,37.25,5634.25,71.75,250,271,173.75,274,130.5,1557.5,187.25,87,23,527,314.5,496.75,366.5
121,121,-89.66666328,29.0000001,208,79.5,33.25,5722,78.75,237.75,273.5,239.5,275.5,130.5,1460.75,176.5,82,25.75,509,285.5,426.75,352.5
122,122,-88.9999965,29.0000001,207.5,78,32.5,5739,79,237,273.5,239.5,275.5,130,1448,177,80.5,26.5,507,279,421,349
131,131,-82.9999955,29.0000001,207.8000031,133.3999939,49.20000076,5156.399902,61,268.3999939,268.3999939,178.6000061,268.7999878,138,1282.199951,199.1999969,49.79999924,46.40000153,541.4000244,182.6000061,540.4000244,252.8000031
132,132,-82.33332872,29.0000001,210.1875,132.0625,49.75,4976.6875,66.3125,263.4375,269.4375,182.0625,269.4375,143.125,1343.125,197.875,54.8125,44.4375,561.125,189.5,561.125,243.75
133,133,-81.66666194,29.0000001,212.4375,121.5625,47.375,4896.125,74.125,254.5625,270.3125,168.125,270.5,146.3125,1283.1875,178.875,56,42.0625,518.1875,189,517.1875,223.5625
134,134,-80.99999517,29.0000001,215,108.3000031,44.70000076,4701.799805,85.59999847,238.6000061,270,162.6000061,270.2000122,151.3000031,1286.300049,178.6000061,57.09999847,42.40000153,514.9000244,185.3999939,504.2000122,205.3999939
181,181,-109.6666666,28.3333335,233.9375,173,54.5,5133.1875,71,314.375,290.0625,225.6875,294.6875,166.25,609.75,170.25,4.0625,104.3125,402.375,23.9375,360.1875,95.125
182,182,-108.9999998,28.3333335,185.125,166.5,54.9375,4657,32.8125,300.3125,234.9375,177.3125,241.1875,124.75,834.1875,239.1875,6.9375,107,556,37.75,522.375,113.6875
183,183,-108.3333331,28.3333335,148.9375,177,56.1875,4763.6875,-9.75,312.625,201.875,140.4375,207.5625,87.625,794.6875,211.5625,9.6875,98.375,510.6875,44.0625,463.1875,112.375
184,184,-107.6666663,28.3333335,130.5625,187.875,55.375,5189.625,-40.8125,336.3125,189.0625,119.5625,195.8125,63.875,621.1875,170.5,9.3125,103.3125,411.5625,34.1875,366.375,73.1875
185,185,-106.9999995,28.3333335,137.625,181.375,53.6875,5357,-33.8125,335.5625,193.4375,111.125,202.5,66.1875,469.1875,132,5.3125,111.5,334.8125,18.5,286.625,34.5
186,186,-106.3333327,28.3333335,160,165.6875,50.625,5597.5,-8.75,324.8125,213.8125,127.5,225.125,83.625,446.125,128.0625,2.4375,114.6875,326.25,11.125,271.25,21.75
187,187,-105.6666659,28.3333335,187.3125,160.25,47.4375,6144.3125,11.125,334.5625,248.125,140.6875,260.875,104.6875,336.875,83.4375,2.9375,100.6875,226.1875,14.6875,182.0625,21.3125
188,188,-104.9999992,28.3333335,181,162.4375,47.25,6403.5625,-0.4375,340.5625,246.25,109.25,258.0625,94.3125,327.8125,75.3125,2.625,97.5,212.5625,15.375,189.1875,21.875
189,189,-104.3333324,28.3333335,179.375,158.25,47.5,6152.4375,4.875,330.125,241.625,113.5625,252.75,95.3125,325.1875,74.875,4.4375,93.5625,208.75,20.5625,178.4375,26.5
190,190,-103.6666656,28.3333335,183.9375,147.0625,46.875,5881.5625,19.9375,310.875,242.125,118.9375,252.9375,102.625,262.5,49.875,5.8125,69.6875,143,23.5,117.9375,30.1875
191,191,-102.9999988,28.3333335,195.75,143.3125,46.6875,5815.875,33.1875,303.5625,258.8125,150.375,262.875,114.8125,240.0625,38.75,4,55.0625,105.125,21.75,100.1875,32.5625
192,192,-102.3333321,28.3333335,184.125,133.875,47.8125,5206.375,35,277.4375,236.0625,132.3125,243.375,111.1875,360.8125,76.3125,6.25,69.125,176.375,29.5,145.75,35
193,193,-101.6666653,28.3333335,213.0625,139.5625,45.8125,6016.875,50.0625,302.25,276.875,138.875,283.4375,130.375,462.6875,101.4375,10.0625,71.5625,211.3125,33.25,176.75,34.75
194,194,-100.9999985,28.3333335,215.875,137.1875,41.875,6677.4375,45.3125,324.1875,261.625,133.875,296.875,125.375,430.4375,83.5,11.625,60.8125,177,41.5625,127.375,44.375
195,195,-100.3333317,28.3333335,219.5,135.1875,41.4375,6663.1875,50.1875,322.5,266.9375,139.125,299.625,128.5625,503.5625,86.125,15.4375,54.9375,197.6875,56.5625,148.6875,59.5625
196,196,-99.66666494,28.3333335,219.875,136,42,6519.4375,53.125,319.25,266.875,147.25,298.25,130.3125,548.75,81.3125,22.4375,45,200.6875,76,151.6875,77.4375
197,197,-98.99999817,28.3333335,217.0625,141.0625,43,6494.0625,45.6875,323.9375,264.8125,144.9375,294.375,127,574.4375,87.5,22.1875,44.8125,214.8125,78.8125,160.375,82.375
198,198,-98.33333139,28.3333335,215.6875,133.8125,42.0625,6301.8125,48.8125,314.75,263.75,144.8125,290.375,128.125,653.1875,98.875,24.375,40.75,227.125,100,179.375,105.625
199,199,-97.66666461,28.3333335,215.875,120.8125,40.75,5960.4375,60.25,292.375,262.4375,148.0625,286.6875,133.5,817.125,128.25,31.4375,39.375,284.875,127.8125,237.1875,136.125
200,200,-96.99999783,28.3333335,215.1428528,102.0714264,37.3571434,5815.428711,67.92857361,268.1428528,260.9285583,165.5714264,283.8571472,134.6428528,941.1428833,150.7142792,37.92856979,38.42856979,331.5714417,149.5714264,264.0714417,167.2142792
201,201,-96.33333106,28.3333335,214,88,34,5887.333496,73.33333588,255,261.6666565,175.6666718,284,133,1035.333374,161.3333282,44.33333206,34.66666794,351.3333435,166,282.6666565,202
221,221,-82.9999955,28.3333335,221,110,46,4688,93.5,235,275,182.5,276,157.5,1313,213.5,53.5,50,585.5,194,555,222
222,222,-82.33332872,28.3333335,219.25,121.25,49.4375,4599.875,86.125,242.8125,272.625,194.625,272.75,156.5625,1336.1875,209.625,52.375,50.25,583.6875,180.875,582.1875,223.3125
223,223,-81.66666194,28.3333335,220.9375,120.25,49.4375,4510.5625,88.8125,241.5,273.4375,182.25,273.5,159.375,1238.125,186.1875,45.1875,49.8125,539.5,169.125,536.75,198.375
224,224,-80.99999517,28.3333335,221,105.125,46,4338.8125,97.875,225.25,271.375,173,271.5,161.8125,1275.3125,184.0625,50.4375,45.5,524.1875,175.4375,518.125,186.0625
225,225,-80.33332839,28.3333335,219,86,42,4278,108,202,258,173,269,161,1222,191,45,43,468,187,461,199
271,271,-109.6666666,27.6666669,243.875,166.5625,54,5296.0625,81.25,305.625,305.5625,233.3125,307.3125,174.1875,505.9375,145.75,1.5625,112.5625,357.8125,14.5,314.375,65.5
272,272,-108.9999998,27.6666669,225.75,175.6875,55,4930.6875,65.125,316.375,278.125,218.9375,284.25,160.5,783.625,210.4375,6.75,102.3125,516.3125,34.0625,458.5625,108.625
273,273,-108.3333331,27.6666669,182.875,176.6875,56.125,4620.375,25.4375,312.125,231.375,177.1875,238.1875,122.25,867.6875,225.875,8.9375,98.8125,563.6875,40.8125,499.375,119.375
274,274,-107.6666663,27.6666669,125.625,182.625,58.3125,4582.125,-32.6875,310.9375,178.3125,117.25,183.375,67.9375,782.3125,195.5,12.8125,87.6875,470.8125,50,424.625,115.125
275,275,-106.9999995,27.6666669,140.375,180.8125,56.375,4815.875,-23.25,318,192.0625,124.9375,200,77.875,544.8125,144.6875,7.8125,104,369.625,28.0625,320.125,52.5
276,276,-106.3333327,27.6666669,168,169.1875,51.9375,5255.75,1.4375,322.4375,218.6875,135.5,230.5,97.125,457.625,123,3.5,115,338.75,15.375,278.8125,24.3125
277,277,-105.6666659,27.6666669,180.375,161.3125,49.5,5604.75,11,323.1875,233.625,151.625,246.8125,104.6875,366.375,91.75,3.125,106.4375,257.125,15,215.6875,23.375
278,278,-104.9999992,27.6666669,183.9375,168.1875,49.5,6025.5,5.375,337.3125,243.25,143.5,256.0625,102.75,354.625,84.5625,3.6875,98.3125,230.5,17.375,206.6875,24.75
279,279,-104.3333324,27.6666669,180.5625,161.8125,49.4375,5850.0625,10.625,324.5,238.5625,148.5625,250.4375,100.9375,347.875,77.4375,4.75,91.1875,214.9375,20.4375,191.4375,29.0625
280,280,-103.6666656,27.6666669,182.5,143.875,48,5492.75,28.25,295.9375,235.6875,158.5625,246,105.6875,329.9375,67.8125,4.75,77.4375,186.375,22.9375,158.4375,34.8125
281,281,-102.9999988,27.6666669,187.9375,139.8125,48.25,5372.5,36.125,287,240.25,164.8125,249.0625,112.4375,298.5,53.9375,3.875,65,148.375,23.5,129.625,35.125
282,282,-102.3333321,27.6666669,186.5,138.375,48.9375,5213.1875,36.9375,279.5625,238.25,132.125,245.9375,113.5625,347,68.125,6.0625,65.6875,165,28.5625,140.4375,35.625
283,283,-101.6666653,27.6666669,209.5625,145.625,47.4375,5909.0625,47.25,303.875,266.0625,146.875,279.375,129.3125,461.375,91.625,10.5625,63.625,200.25,39.0625,169.625,44.25
284,284,-100.9999985,27.6666669,220.875,144.125,42.125,6933.25,43.375,337.625,267.6875,147.375,305.5625,128.4375,422.625,82.9375,11.0625,59.5625,173.875,42.5,126.25,46.375
285,285,-100.3333317,27.6666669,221.9375,139.375,42.625,6574.6875,52.75,322.75,268.75,151.25,301,132.8125,447.75,85.75,13.4375,57.1875,181.625,51.0625,122.125,53.625
286,286,-99.66666494,27.6666669,227.4375,135.1875,42.4375,6406.4375,62.6875,314.9375,274.6875,157.875,303.9375,139.6875,481.125,89.875,16.1875,53.1875,192.0625,60,132.25,63.625
287,287,-98.99999817,27.6666669,220.875,137.875,43.3125,6277.4375,54.375,314.4375,266.75,151.125,294.6875,133.25,543,95.375,20.125,48.4375,205.375,75.125,151.75,78.8125
288,288,-98.33333139,27.6666669,219.625,130.625,43.1875,5947.4375,60.5,300,264.0625,150.75,289.5625,136.5625,645.125,115.625,23.5625,48.4375,242.375,93.75,182.6875,98.1875
289,289,-97.66666461,27.6666669,221.8666687,108.6666641,39.46666718,5670.799805,75.40000153,271.1333313,266.2666626,156.5333405,288.4666748,143.1333313,749.4000244,133.1333313,26.26666641,46.26666641,293.0666809,114.6666641,214,122.3333359
290,290,-96.99999783,27.6666669,222,88,35,5560.5,84.5,246.5,267,172,286.5,144.5,818.5,151,29.5,46,327.5,129,213.5,142
311,311,-82.9999955,27.6666669,225,95,43,4548,107,216,277,175,278,163,1240,214,38,55,571,176,540,200
312,312,-82.33332872,27.6666669,223.6428528,116.4285736,49.42856979,4370.928711,95.7857132,232.6428528,273.9285583,178.7142792,274.2857056,164.0714264,1279.571411,213.5,38.3571434,58,598.2142944,164.8571472,588.1428833,194.5714264
313,313,-81.66666194,27.6666669,224.1875,127.0625,52.125,4267.375,91.875,241.6875,273.5,179.5,273.6875,165.8125,1249.625,202,44.6875,55.25,572.75,157.375,547,180.0625
314,314,-80.99999517,27.6666669,224.4375,117.875,50.5625,4090.125,98.75,230.25,271.4375,179.5625,272.1875,168.5,1233.1875,180.9375,44.5,49.25,524.9375,155.0625,503.5625,166.25
315,315,-80.33332839,27.6666669,227.1666718,103.3333359,48.33333206,3899.333252,111.6666641,211.6666718,269.3333435,175.8333282,272.6666565,174,1284.666626,175.1666718,47.33333206,40,486.1666565,179.6666718,483,180
361,361,-109.6666666,27.0000003,247.8000031,165.5333405,55.79999924,5263.866699,88.1333313,293.7333374,313.5333252,251.3333282,313.5333252,180.5333405,307.3999939,84.40000153,0.800000012,104.4000015,209.6000061,6.666666508,205.8000031,40.66666794
362,362,-108.9999998,27.0000003,233.75,175.3125,57.5,4572.75,78.75,302.3125,283.4375,225.6875,287.5625,173.1875,625.4375,179.75,3,112.5625,441,17.4375,375.75,78.3125
363,363,-108.3333331,27.0000003,209.9375,175.5625,57.75,4359.8125,56.25,301.875,254,205.875,260.6875,151.6875,876.25,233.75,6.8125,103,580.6875,31.875,518.8125,114.875
364,364,-107.6666663,27.0000003,178.3125,179.25,59.3125,4217,24.3125,299.75,221.5,175.125,228,122.625,821.8125,214.0625,9.875,94.25,511.75,42.625,454.875,110.375
365,365,-106.9999995,27.0000003,141.5,184.8125,61.4375,4136.8125,-13.375,298.8125,187,132.25,192.125,88.625,667,168.875,10.5,95.125,426.25,39.8125,379.4375,71.1875
366,366,-106.3333327,27.0000003,164.9375,176.25,56.125,4603.625,4.125,311.125,209.125,139.875,218.8125,102.875,534.1875,142.1875,5.75,109.5625,379.0625,21.9375,322.25,38.125
367,367,-105.6666659,27.0000003,174.3125,171.125,53.9375,4933,12.125,313.5625,219.625,148.375,231.25,107.375,477.1875,121.8125,3.4375,110.875,342.625,15.875,233.0625,26.25
368,368,-104.9999992,27.0000003,182.8125,180.625,53.3125,5522.5,5.75,336.0625,236.625,155.3125,248.1875,107.875,378.4375,92,3.375,101.375,252.9375,14,220.6875,22.125
369,369,-104.3333324,27.0000003,180.4375,169.4375,52.375,5408.9375,12.5,320.6875,233.5625,153.8125,243.9375,106.1875,345.75,78,4.9375,91.3125,213.25,18.0625,184.5,28
370,370,-103.6666656,27.0000003,186.3125,149,50.9375,5087.5,36.8125,289,235.5,164.9375,244.5,114.875,341.3125,76.5,5.25,85.9375,202.875,20.9375,169,34.1875
371,371,-102.9999988,27.0000003,188.8125,144.3125,50.25,5156.6875,38.875,284.875,238.5625,155,247.375,116.625,305.3125,60.8125,4.5,73.375,164.5625,23.375,138.5,32.3125
372,372,-102.3333321,27.0000003,191.8125,145.75,50,5313.875,36.5625,289.125,244.4375,136.625,253,118.375,291.125,55.3125,5.75,62.625,140.5,25.125,117.4375,31.5625
373,373,-101.6666653,27.0000003,211.875,153.875,48.75,5902.1875,43.625,312.875,264.25,149.0625,281.8125,132.1875,332.3125,63.9375,7.125,59,147.375,32.5,120.25,38.125
374,374,-100.9999985,27.0000003,215.4375,144.8125,45.8125,6100.625,49.125,313.125,270.625,149.6875,288.125,132.1875,412.625,84.375,9.3125,61,183.875,41.6875,144.875,46
375,375,-100.3333317,27.0000003,224.3125,137.9375,43.375,6325.5,59.75,314.5,277.9375,155.625,299.375,137.375,443.0625,92.1875,10.9375,62.25,191.6875,45.125,147.75,48.75
376,376,-99.66666494,27.0000003,231.5625,133.5625,42.125,6296.9375,67.4375,311.9375,278.4375,162.125,305.1875,144.3125,486.8125,109.1875,12.25,65.1875,207.5,50.125,139.25,57.375
377,377,-98.99999817,27.0000003,224.9375,132.8125,43.3125,6025.0625,63.75,303.875,269.125,157.5,294.875,140.25,533.0625,105.1875,16.75,54.0625,209,70.3125,148.4375,77.875
378,378,-98.33333139,27.0000003,225.1875,126.6875,43.375,5718.625,72.1875,289.4375,267.5,161.125,291.75,145.125,606.1875,110.9375,19.0625,50.3125,232.0625,85.6875,176.6875,95.1875
379,379,-97.66666461,27.0000003,224.5833282,103.5833359,39.41666794,5433,83.16666412,259.3333435,266.4166565,175,287.6666565,148.4166718,664.75,126.0833359,18.5,50.91666794,263.5833435,95.41666412,188.25,108.8333359
402,402,-82.33332872,27.0000003,226.777771,119,51.55555725,4110,101.4444427,228.3333282,274.1111145,181.5555573,274.6666565,170.6666718,1311.333374,217.777771,39.66666794,61.33333206,621.777771,157.4444427,605.333313,177.1111145
403,403,-81.66666194,27.0000003,225.5,126.875,53.1875,4075.8125,96.0625,236.375,272.375,180.5625,272.875,170,1270.5,215.6875,42.75,59.625,597.625,143.5625,550.8125,157.75
404,404,-80.99999517,27.0000003,227.375,119.4375,52.125,3919.75,103.125,227.375,271.9375,184.5625,272.9375,173.0625,1197.8125,190,41.75,54.5625,532.6875,140.875,496.6875,148.0625
