"","country","period","bio_1avg","bio_12avg","bio_1std","bio_12std"
"1","tza","2020_2049","1.35732616568959","3.34105787515462","0.335788589041401","9.68678190939088"
"2","tza","2040_2069","1.82893777496392","4.10875868775014","0.421601057688321","11.6071177495792"
"3","tza","2060_2089","2.13794078952836","6.25315197542433","0.49650427286559","12.9585204600106"
"4","npl","2020_2049","1.55390001752866","6.29811801544738","0.503100868522283","10.7098375906805"
"5","npl","2040_2069","2.16553983367374","10.1430085143599","0.616057584341647","11.552485216712"
"6","npl","2060_2089","2.59891362771887","12.7315948051782","0.754171451905601","12.3606028490559"
"7","zmb","2020_2049","1.57670071104161","-1.59815606432157","0.377063732472095","6.27312314542473"
"8","zmb","2040_2069","2.14201005550797","-2.16743574525625","0.464352606986003","7.61284054124008"
"9","zmb","2060_2089","2.51799713143113","-2.50332845551336","0.556583508144328","7.96222596319144"
"10","moz","2020_2049","1.40913011247017","-3.16353385744196","0.32341556725524","8.91324530831966"
"11","moz","2040_2069","1.8846296223437","-3.22157792854168","0.396724820605585","10.7249210470518"
"12","moz","2060_2089","2.20307600452273","-3.21229564235826","0.489989602808258","11.1119949949579"
"13","pak","2020_2049","1.79551830837805","4.01463705961309","0.461138288340941","15.5217707431516"
"14","pak","2040_2069","2.46125606503866","2.23674539923545","0.562933949940211","17.4313398174071"
"15","pak","2060_2089","2.90104630464702","2.65337386515079","0.707622296451576","17.3791380762172"
"16","btn","2020_2049","1.43532149200913","3.81895274470791","0.4484533401408","8.29557708552469"
"17","btn","2040_2069","1.99047347532909","7.44165162789183","0.544066830653925","9.35099046087846"
"18","btn","2060_2089","2.19875443282851","9.79386400140807","1.52472044725788","10.6116579224361"
"19","bgd","2020_2049","1.17688338423393","7.41331971070642","0.502540849884851","7.69007829816324"
"20","bgd","2040_2069","1.65802849992659","10.9346084473834","0.58705047061686","9.81164841829135"
"21","bgd","2060_2089","2.06732235704033","12.3211314188027","0.735096894169815","10.8261522836879"
"22","ben","2020_2049","1.30282365237045","2.94615747406925","0.366117527014907","7.8138987421143"
"23","ben","2040_2069","1.77440713328879","3.49423215127693","0.47240492279333","10.1303269365374"
"24","ben","2060_2089","2.10945640945526","3.23629382986834","0.587422749615503","12.738357580809"
"25","gmb","2020_2049","1.32972378875236","-7.81850268995464","0.305820645409506","16.5811378121201"
"26","gmb","2040_2069","1.77631979172043","-9.38479629490809","0.39950058669835","21.3768119342456"
"27","gmb","2060_2089","2.09423142595783","-7.80661729224857","0.509638301633514","25.4118624745233"
"28","civ","2020_2049","1.31085382256036","0.356024372784661","0.385288907822599","5.65113531400501"
"29","civ","2040_2069","1.76760540883761","0.250022771128357","0.497346762772537","6.72611347091259"
"30","civ","2060_2089","2.07501778102328","1.17878495058053","0.604844568481433","7.32671759293847"
"31","phl","2020_2049","1.08284953904643","3.22714243908185","0.251191445493624","5.75936474514844"
"32","phl","2040_2069","1.45606787875914","4.90123230391465","0.330234562477498","6.14104541942333"
"33","phl","2060_2089","1.7105450090469","5.72815156394555","0.411885692439312","7.61040531768372"
