TYPE	TCRITMIN	PPCRIT	TLINT	TCSLOPE	TLSLOPE	FDWIDTH	FDOFFSET	TLIMMIN	IDURMAX	IBAMAX	IAAMAX
TOL	37	0.6	65	0.3	2	5	0.2	40	6	6	12
MOD	34	0.7	65	0.35	2.5	5	0.2	40	6	6	12
SEN	36	0.95	65	0.3	3	5	0.2	40	6	6	12
