NWIND1966N   70  107  131  192  227  244  239  226  206  171  118   62
NWIND1967N   44   99  134  181  220  244  234  223  210  164  118   96
NWIND1968N   64   78  137  185  221  250  235  222  221  166  113   74
NWIND1969N   65   87  157  196  226  254  241  230  219  179  134   81
NWIND1970N   74   88  134  199  237  237  237  230  217  180  100   68
NWIND1971N   57   85  131  201  222  236  227  223  207  172  113   75
NWIND1972N   69   66  144  182  228  245  233  225  201  163  115   83
NWIND1973N   63  101  134  203  235  244  237  226  216  167  104   70
NWIND1974N   63   74  151  199  225  235  234  231  217  174  103   72
NWIND1975N   59   81  126  191  234  236  229  227  211  176   95   71
NWIND1976N   78   97  138  187  225  234  236  223  208  173  134   76
NWIND1977N   65   94  147  195  222  236  233  227  210  177  138   82
NWIND1978N   56   87  126  192  244  247  231  228  210  167  128   81
NWIND1979N   73   86  125  192  214  247  239  226  209  180  146   90
NWIND1980N   65   96  137  204  238  248  237  232  217  180  125   80
NWIND1981N   71   92  142  199  233  249  236  228  217  174  110   72
NWIND1982N   73   89  121  181  214  242  240  228  213  179  126   85
NWIND1983N   65   83  127  173  220  242  236  231  218  168   99   72
NWIND1984N   61   73  150  193  236  250  233  226  204  157  105   74
NWIND1985N   68   82  152  196  237  243  234  227  215  168  117   88
NWIND1986N   72   90  138  192  219  247  238  227  213  172  124   69
NWIND1987N   75   98  148  194  216  253  247  239  228  186  124   85
NWIND1988N   86  107  142  206  246  252  237  230  225  175  111   86
NWIND1989N   57   83  139  180  231  244  240  230  216  169  120   80

