COLUMN	EOS	DAY
1	YEAR	DAY
2	LAT	ISTG
3	LON	RLV
4	IPDATE	LAI
5	ISTG	YIELD
6	RLV_MEAN	BMASS
7	LAI	SLA
8	YIELD	HI
9	BMASS	CUM_RAIN
10	SLA	SRAD
11	HI	SWAT
12	T_RAIN	TRANS
13	SRAD_END	ET
14	PESW	OET
15	TRANS	SWFAC
16	ET	ET
17	P_TRANS_P_EVAP	RUNOFF
18	SWFAC	CUM_RUNOFF
19	EVAP_TRANS	UPTK
20	RUNOFF	CUM_UPTK
21	T_RUNOFF	DRAIN
22	DTPUPTK	CUM_DRAIN
23	TP_UPTK	P_TRANS
24	DRAIN	CUM_P_TRANS
25	T_DRAIN	CUM_EVAP
26	P_TRANS	CUM_TRANS
27	T_P_TRANS	RLVA
28	T_EVAP	RLVA_LAI
29	T_P_EVAP	RAIN
30	T_TRANS	SW_CHG
31	RLA	ABS_RAD
32	RLA_NORM	IDUR
33	RAIN_EOS	VPD_MEAN
34	DSW	NA
35	TRAD_ABS	NA
36	IDUR	NA
37	VPD_TOT	NA
38	TRAD_NET	NA
39	TOT_PP	NA
40	TOT_PP_HTS	NA
41	TOT_PP_WAT	NA
42	TBAR_TOT	NA
