TYPE,VAR,SCALE,P,SEED
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
s,prec,years,NA,997
