TYPE,VAR,SCALE,P,SEED
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
s,tmin,all,NA,997
