"CELL30M","SoilProfile","repre","acum"
13770,"WI_GLIE007",1,1
15463,"WI_LVBR054",1,1
15589,"WI_FRBR044",1,1
15634,"WI_LVBR054",1,1
23343,"WI_VRNI020",1,1
23523,"WI_VRNI020",1,1
23703,"WI_VRNI020",1,1
24575,"WI_FLYE190",1,1
26912,"WI_NTCL019",1,1
27094,"HC_GEN0001",1,1
27274,"HC_GEN0001",1,1
28892,"HC_GEN0019",1,1
29265,"WI_CLBW186",1,1
29266,"WI_CLBW186",1,1
29443,"WI_CLBW186",1,1
29447,"WI_CLBW186",1,1
29805,"WI_CLBW186",1,1
30359,"WI_PZRO014",1,1
30360,"WI_PZRO014",1,1
30361,"WI_PZRO014",1,1
30362,"WI_PZRO014",1,1
30363,"WI_PZRO014",1,1
30364,"WI_PZRO014",1,1
30365,"WI_PZRO014",1,1
30538,"WI_PZRO014",1,1
30539,"WI_PZRO014",1,1
30540,"WI_PZRO014",1,1
30541,"WI_PZRO014",1,1
30542,"WI_PZRO014",1,1
30543,"WI_PZRO014",1,1
30544,"WI_PZRO014",1,1
30545,"WI_PZRO014",1,1
30719,"WI_PZRO014",1,1
30720,"WI_PZRO014",1,1
30721,"WI_PZRO014",1,1
30722,"WI_PZRO014",1,1
30723,"WI_PZRO014",1,1
31428,"HC_GEN0010",1,1
31608,"HC_GEN0010",1,1
31609,"HC_GEN0010",1,1
31611,"HC_GEN0010",1,1
31612,"HC_GEN0010",1,1
6910,"WI_NTCO045",0.988888888888889,0.988888888888889
31424,"HC_GEN0010",0.982504859761177,0.982504859761177
29444,"WI_CLBW186",0.977777777777778,0.977777777777778
1119,"WI_VRTZ077",0.975,0.975
944,"WI_VRTZ077",0.972222222222222,0.972222222222222
946,"WI_LVBR026",0.972222222222222,0.972222222222222
4563,"WI_CLDE040",0.972222222222222,0.972222222222222
13228,"WI_GLIE007",0.972222222222222,0.972222222222222
13586,"WI_GLIE007",0.972222222222222,0.972222222222222
13587,"WI_GLIE007",0.972222222222222,0.972222222222222
15593,"HC_GEN0025",0.972222222222222,0.972222222222222
6186,"WI_NTCO045",0.952380952380952,0.952380952380952
4562,"WI_CLDE040",0.951666666666667,0.951666666666667
7660,"HC_GEN0007",0.947368421052632,0.947368421052632
48,"WI_LVBR026",0.944444444444444,0.944444444444444
948,"WI_LVBR026",0.944444444444444,0.944444444444444
6370,"WI_NTCO045",0.944444444444444,0.944444444444444
13467,"WI_FRBR065",0.944444444444444,0.944444444444444
13588,"WI_GLIE007",0.944444444444444,0.944444444444444
13771,"WI_GLIE007",0.944444444444444,0.944444444444444
15814,"WI_LVBR054",0.944444444444444,0.944444444444444
29086,"WI_CLBW186",0.944444444444444,0.944444444444444
29264,"WI_CLBW186",0.941666666666667,0.941666666666667
29268,"WI_CLBW186",0.933333333333333,0.933333333333333
2419,"HC_GEN0010",0.925,0.925
17039,"WI_ACMY002",0.925,0.925
7840,"WI_FRZM017",0.924137931034483,0.924137931034483
31240,"WI_ACLR001",0.92,0.92
942,"WI_VRTZ077",0.916666666666667,0.916666666666667
1474,"WI_ACBR009",0.916666666666667,0.916666666666667
15774,"HC_GEN0025",0.916666666666667,0.916666666666667
28905,"WI_CLBW186",0.916666666666667,0.916666666666667
31610,"HC_GEN0010",0.910128388017118,0.910128388017118
6190,"WI_NTCO045",0.90625,0.90625
4387,"WI_CLDE040",0.9,0.9
9265,"WI_CMID058",0.9,0.9
1482,"WI_CMNI002",0.888888888888889,0.888888888888889
10910,"WI_FRBR042",0.888888888888889,0.888888888888889
13647,"WI_FRBR065",0.888888888888889,0.888888888888889
13950,"WI_GLIE007",0.888888888888889,0.888888888888889
14131,"WI_GLIE007",0.888888888888889,0.888888888888889
15594,"HC_GEN0025",0.888888888888889,0.888888888888889
17566,"WI_CMPE006",0.888888888888889,0.888888888888889
21741,"WI_PTMY007",0.888888888888889,0.888888888888889
25836,"HC_GEN0001",0.888888888888889,0.888888888888889
27273,"HC_GEN0001",0.884615384615385,0.884615384615385
29804,"WI_CLBW186",0.883333333333333,0.883333333333333
69,"WI_CMSL008",0.882352941176471,0.882352941176471
4203,"WI_CLDE040",0.878787878787879,0.878787878787879
29267,"WI_CLBW186",0.878787878787879,0.878787878787879
13407,"WI_GLIE007",0.877777777777778,0.877777777777778
7446,"WI_ANNI006",0.875,0.875
28712,"HC_GEN0019",0.873907615480649,0.873907615480649
4566,"WI_CLDE040",0.871428571428571,0.871428571428571
7839,"WI_FRZM017",0.870588235294118,0.870588235294118
4564,"WI_CLDE040",0.868055555555556,0.868055555555556
66,"WI_CMSL008",0.866666666666667,0.866666666666667
3261,"WI_ACBR009",0.862222222222222,0.862222222222222
15953,"HC_GEN0025",0.861111111111111,0.861111111111111
17385,"WI_CMPE006",0.861111111111111,0.861111111111111
18301,"WI_GLBD005",0.861111111111111,0.861111111111111
29442,"WI_CLBW186",0.861111111111111,0.861111111111111
223,"WI_LVBR026",0.855555555555556,0.855555555555556
8716,"WI_NTCO045",0.852941176470588,0.852941176470588
3637,"WI_LVIT035",0.85,0.85
3856,"WI_GLCU001",0.85,0.85
4037,"WI_GLCU001",0.85,0.85
4767,"WI_LPIN003",0.85,0.85
4769,"WI_LPIN003",0.85,0.85
12753,"WI_ACNE012",0.85,0.85
12754,"WI_ACNE012",0.85,0.85
12933,"WI_ACNE012",0.85,0.85
12934,"WI_ACNE012",0.85,0.85
12935,"WI_ACNE012",0.85,0.85
16876,"WI_ACBI015",0.85,0.85
17055,"WI_ACBI015",0.85,0.85
19185,"WI_CMCU011",0.85,0.85
15643,"WI_LVBR054",0.844444444444444,0.844444444444444
29085,"WI_CLBW186",0.844444444444444,0.844444444444444
29623,"WI_CLBW186",0.844444444444444,0.844444444444444
68,"WI_CMSL008",0.841176470588235,0.841176470588235
4560,"WI_CLDE040",0.838888888888889,0.838888888888889
1301,"WI_VRTZ077",0.833333333333333,0.833333333333333
8941,"WI_CMBR109",0.833333333333333,0.833333333333333
13411,"WI_GLIE007",0.833333333333333,0.833333333333333
15283,"WI_LVBR054",0.833333333333333,0.833333333333333
15588,"WI_FRBR044",0.833333333333333,0.833333333333333
17204,"WI_ACPA004",0.833333333333333,0.833333333333333
5285,"WI_CLDE040",0.831946755407654,0.831946755407654
224,"WI_LVBR026",0.827777777777778,0.827777777777778
3456,"WI_LVIT035",0.826388888888889,0.826388888888889
4204,"WI_CLDE040",0.826388888888889,0.826388888888889
16875,"WI_ACBI015",0.826388888888889,0.826388888888889
7843,"HC_GEN0016",0.826086956521739,0.826086956521739
1320,"HC_GEN0010",0.823529411764706,0.823529411764706
31607,"HC_GEN0010",0.822769953051643,0.822769953051643
2239,"HC_GEN0010",0.82,0.82
3281,"HC_GEN0012",0.82,0.82
29071,"HC_GEN0019",0.818181818181818,0.818181818181818
29445,"WI_CLBW186",0.817142857142857,0.817142857142857
70,"WI_CMSL008",0.813888888888889,0.813888888888889
29446,"WI_CLBW186",0.811764705882353,0.811764705882353
6,"WI_GRCA086",0.80952380952381,0.80952380952381
947,"WI_LVBR026",0.805555555555556,0.805555555555556
7090,"WI_NTCO045",0.805555555555556,0.805555555555556
7451,"WI_NTCO045",0.805555555555556,0.805555555555556
9088,"WI_CMTH046",0.805555555555556,0.805555555555556
10374,"WI_VRMA023",0.805555555555556,0.805555555555556
10549,"WI_VRMA023",0.805555555555556,0.805555555555556
13589,"WI_GLIE007",0.805555555555556,0.805555555555556
18484,"WI_GLTH006",0.805555555555556,0.805555555555556
25656,"WI_ANCL009",0.805555555555556,0.805555555555556
13114,"WI_ACNE012",0.802777777777778,0.802777777777778
599,"WI_FLBD007",0.8,0.8
1455,"WI_CMCA014",0.8,0.8
3854,"WI_CMPH004",0.8,0.8
3987,"WI_CMRU004",0.8,0.8
3989,"WI_VRCU020",0.8,0.8
