GS,VARIABLE,TYPE,TEST.AV.SUIT,TEST.SD.SUIT,TEST.MAX.SUIT,TEST.MIN.SUIT,TEST.OMISSION.RATE,TEST.ERROR,TEST.MXE,TEST.SLOPE,TRAIN.AV.SUIT,TRAIN.SD.SUIT,TRAIN.MAX.SUIT,TRAIN.MIN.SUIT,TRAIN.OMISSION.RATE,TRAIN.ERROR,TRAIN.MXE,TRAIN.SLOPE
1,tmax,_psuitability,0,0,0,0,1,1,NA,NA,0.04379085,1.405650116,53,0,0.998366013,0.99966089,NA,NA
2,tmax,_psuitability,14.40182055,20.52605171,100,0,0.43953186,0.880216976,0.999852398,0.009836088,14.60588235,20.16657256,100,0,0.414705882,0.877423106,0.99985085,0.009863513
3,tmax,_psuitability,90.58647594,10.37314864,100,61,0,0.140027398,NA,NA,90.73333333,10.5504656,100,56,0,0.140409066,NA,NA
4,tmax,_psuitability,79.62808843,11.51898531,100,56,0,0.233993431,NA,NA,79.8127451,11.66119881,100,52,0,0.233123225,NA,NA
5,tmax,_psuitability,81.36150845,10.98575668,100,59,0,0.216315343,NA,NA,81.55392157,11.12163577,100,55,0,0.215385276,NA,NA
6,tmax,_psuitability,98.34980494,3.475154087,100,82,0,0.038450143,NA,NA,98.30261438,3.683621591,100,78,0,0.040553362,NA,NA
7,tmax,_psuitability,80.24187256,14.60936717,100,47,0,0.245670442,NA,NA,80.46699346,14.78796046,100,41,0,0.244979724,NA,NA
8,tmax,_psuitability,3.210663199,12.00270545,90,0,0.88686606,0.975297561,NA,NA,3.04379085,11.36390442,100,0,0.880065359,0.976196835,0.529172962,0.005168597
9,tmax,_psuitability,0.386215865,3.226738446,40,0,0.980494148,0.996659636,NA,NA,0.339215686,3.858899621,98,0,0.982679739,0.997354409,NA,NA
10,tmax,_psuitability,0.145643693,1.44142937,22,0,0.988296489,0.99864746,NA,NA,0.149673203,2.376016819,71,0,0.991830065,0.998785832,NA,NA
11,tmax,_psuitability,0.067620286,0.784355283,15,0,0.989596879,0.999354538,NA,NA,0.100653595,2.018466455,65,0,0.994117647,0.999197292,NA,NA
12,tmax,_psuitability,0.031209363,0.571970023,13,0,0.99479844,0.999704248,NA,NA,0.085947712,1.985267391,66,0,0.995098039,0.999337673,NA,NA
MEAN,tmax,_psuitability,4.405721717,13.54147828,91,0,0.836150845,0.965473936,NA,NA,4.337908497,13.01803766,100,0,0.838235294,0.965435118,0.638514626,0.006273058
MODE,tmax,_psuitability,15.99869961,19.35351627,95,0,0.322496749,0.861991299,NA,NA,16.28202614,19.07564484,100,0,0.312091503,0.858630331,0.999758397,0.009921985
MAX,tmax,_psuitability,98.34980494,3.475154087,100,82,0,0.038450143,NA,NA,98.30261438,3.683621591,100,78,0,0.040553362,NA,NA
MIN,tmax,_psuitability,0,0,0,0,1,1,NA,NA,0.010457516,0.408981129,16,0,0.999346405,0.999903786,NA,NA
1,tmean,_psuitability,0,0,0,0,1,1,NA,NA,0.04379085,1.405650116,53,0,0.998366013,0.99966089,NA,NA
2,tmean,_psuitability,14.40182055,20.52605171,100,0,0.43953186,0.880216976,0.999852398,0.009836088,14.60588235,20.16657256,100,0,0.414705882,0.877423106,0.99985085,0.009863513
3,tmean,_psuitability,90.58647594,10.37314864,100,61,0,0.140027398,NA,NA,90.73333333,10.5504656,100,56,0,0.140409066,NA,NA
4,tmean,_psuitability,79.62808843,11.51898531,100,56,0,0.233993431,NA,NA,79.8127451,11.66119881,100,52,0,0.233123225,NA,NA
5,tmean,_psuitability,81.36150845,10.98575668,100,59,0,0.216315343,NA,NA,81.55392157,11.12163577,100,55,0,0.215385276,NA,NA
6,tmean,_psuitability,98.34980494,3.475154087,100,82,0,0.038450143,NA,NA,98.30261438,3.683621591,100,78,0,0.040553362,NA,NA
7,tmean,_psuitability,80.24187256,14.60936717,100,47,0,0.245670442,NA,NA,80.46699346,14.78796046,100,41,0,0.244979724,NA,NA
8,tmean,_psuitability,3.210663199,12.00270545,90,0,0.88686606,0.975297561,NA,NA,3.04379085,11.36390442,100,0,0.880065359,0.976196835,0.529172962,0.005168597
9,tmean,_psuitability,0.386215865,3.226738446,40,0,0.980494148,0.996659636,NA,NA,0.339215686,3.858899621,98,0,0.982679739,0.997354409,NA,NA
10,tmean,_psuitability,0.145643693,1.44142937,22,0,0.988296489,0.99864746,NA,NA,0.149673203,2.376016819,71,0,0.991830065,0.998785832,NA,NA
11,tmean,_psuitability,0.067620286,0.784355283,15,0,0.989596879,0.999354538,NA,NA,0.100653595,2.018466455,65,0,0.994117647,0.999197292,NA,NA
12,tmean,_psuitability,0.031209363,0.571970023,13,0,0.99479844,0.999704248,NA,NA,0.085947712,1.985267391,66,0,0.995098039,0.999337673,NA,NA
MEAN,tmean,_psuitability,4.405721717,13.54147828,91,0,0.836150845,0.965473936,NA,NA,4.337908497,13.01803766,100,0,0.838235294,0.965435118,0.638514626,0.006273058
MODE,tmean,_psuitability,15.99869961,19.35351627,95,0,0.322496749,0.861991299,NA,NA,16.28202614,19.07564484,100,0,0.312091503,0.858630331,0.999758397,0.009921985
MAX,tmean,_psuitability,98.34980494,3.475154087,100,82,0,0.038450143,NA,NA,98.30261438,3.683621591,100,78,0,0.040553362,NA,NA
MIN,tmean,_psuitability,0,0,0,0,1,1,NA,NA,0.010457516,0.408981129,16,0,0.999346405,0.999903786,NA,NA
1,tmin,_psuitability,0,0,0,0,1,1,NA,NA,0.04379085,1.405650116,53,0,0.998366013,0.99966089,NA,NA
2,tmin,_psuitability,14.40182055,20.52605171,100,0,0.43953186,0.880216976,0.999852398,0.009836088,14.60588235,20.16657256,100,0,0.414705882,0.877423106,0.99985085,0.009863513
3,tmin,_psuitability,90.58647594,10.37314864,100,61,0,0.140027398,NA,NA,90.73333333,10.5504656,100,56,0,0.140409066,NA,NA
4,tmin,_psuitability,79.62808843,11.51898531,100,56,0,0.233993431,NA,NA,79.8127451,11.66119881,100,52,0,0.233123225,NA,NA
5,tmin,_psuitability,81.36150845,10.98575668,100,59,0,0.216315343,NA,NA,81.55392157,11.12163577,100,55,0,0.215385276,NA,NA
6,tmin,_psuitability,98.34980494,3.475154087,100,82,0,0.038450143,NA,NA,98.30261438,3.683621591,100,78,0,0.040553362,NA,NA
7,tmin,_psuitability,80.24187256,14.60936717,100,47,0,0.245670442,NA,NA,80.46699346,14.78796046,100,41,0,0.244979724,NA,NA
8,tmin,_psuitability,3.210663199,12.00270545,90,0,0.88686606,0.975297561,NA,NA,3.04379085,11.36390442,100,0,0.880065359,0.976196835,0.529172962,0.005168597
9,tmin,_psuitability,0.386215865,3.226738446,40,0,0.980494148,0.996659636,NA,NA,0.339215686,3.858899621,98,0,0.982679739,0.997354409,NA,NA
10,tmin,_psuitability,0.145643693,1.44142937,22,0,0.988296489,0.99864746,NA,NA,0.149673203,2.376016819,71,0,0.991830065,0.998785832,NA,NA
11,tmin,_psuitability,0.067620286,0.784355283,15,0,0.989596879,0.999354538,NA,NA,0.100653595,2.018466455,65,0,0.994117647,0.999197292,NA,NA
12,tmin,_psuitability,0.031209363,0.571970023,13,0,0.99479844,0.999704248,NA,NA,0.085947712,1.985267391,66,0,0.995098039,0.999337673,NA,NA
