"ICRISAT_ac","Table_name","Mission_co","Collectors","Alternate_","Local_name","Species_nu","Cultivar_n","Biological","Donor_coop","Donor_coun","Date_recei","Date_of_co","Source_cou","Province","Location","Latitude","Longitude","Elevation","Genus","Species","Sauthor","Subsp","UID","IS_UNIQUE","TEST_TRAIN","GS1_P","GS1_T","GS1_N","GS1_X","GS2_P","GS2_T","GS2_N","GS2_X","GS3_P","GS3_T","GS3_N","GS3_X","GS4_P","GS4_T","GS4_N","GS4_X","GS5_P","GS5_T","GS5_N","GS5_X","GS6_P","GS6_T","GS6_N","GS6_X","GS7_P","GS7_T","GS7_N","GS7_X","GS8_P","GS8_T","GS8_N","GS8_X","GS9_P","GS9_T","GS9_N","GS9_X","GS10_P","GS10_T","GS10_N","GS10_X","GS11_P","GS11_T","GS11_N","GS11_X","GS12_P","GS12_T","GS12_N","GS12_X","MEAN_P","MODE_P","MAX_P","MIN_P","MEAN_T","MODE_T","MAX_T","MIN_T","MEAN_N","MODE_N","MAX_N","MIN_N","MEAN_X","MODE_X","MAX_X","MIN_X"
31550,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 65","Amashirahamwe",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","","Ntaho",-4.2,29.98,0,"Sorghum","bicolor","(L.) Moench","bicolor",1,TRUE,"TRAIN",794,200.833333333333,150.166666666667,252,638,198.833333333333,144.5,253.5,492,199.333333333333,141.666666666667,257.166666666667,343,201.5,141.333333333333,262,207,203.666666666667,142.166666666667,266,266,204.333333333333,143.5,266.5,438,206.166666666667,148,265.5,594,208.166666666667,153.666666666667,264,740,207.666666666667,156.5,260.333333333333,889,205.5,156.833333333333,255.5,1025,203.333333333333,156,251.5,966,202.666666666667,154.666666666667,251,616,614.319984926729,1025,207,203.5,203.518918123618,208.166666666667,198.833333333333,149.083333333333,143.325694055242,156.833333333333,141.333333333333,258.75,253.472585277981,266.5,251
25454,"ICRISATSOSORGHUM","ICRISAT-MISN-093","P 31","","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/24/1982","BDI","Rutana","Kiofi 23SW",-4.13,29.790001,1350,"Sorghum","bicolor","(L.) Moench","bicolor",2,TRUE,"TRAIN",979,148.166666666667,95.6666666666667,194.833333333333,787,145.833333333333,90.5,195.333333333333,607,145.166666666667,87.1666666666667,197.333333333333,437,146.333333333333,86.3333333333333,200.333333333333,300,147.666666666667,85.8333333333333,203.166666666667,399,148.333333333333,86.6666666666667,204.166666666667,607,150.5,91,204.166666666667,799,152.833333333333,96.1666666666667,203.666666666667,979,153.5,99.5,201.666666666667,1149,152.333333333333,100.333333333333,198.666666666667,1286,151,100.833333333333,195.833333333333,1187,150.333333333333,100,194.833333333333,793,795.02137225907,1286,300,149.333333333333,147.835200558568,153.5,145.166666666667,93.3333333333333,98.8264537042806,100.833333333333,85.8333333333333,199.5,196.058998627763,204.166666666667,194.833333333333
25490,"ICRISATSOSORGHUM","ICRISAT-MISN-093","PB 29","","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/24/1982","BDI","Rutana","Kiofi",-3.98,30.120001,1250,"Sorghum","bicolor","(L.) Moench","bicolor",18,TRUE,"TRAIN",806,179.833333333333,128.333333333333,237.666666666667,652,177.5,122.333333333333,238.666666666667,507,177.833333333333,119.333333333333,242.333333333333,363,180,118.666666666667,247.166666666667,234,182.333333333333,119,251.833333333333,281,183.5,120.166666666667,253.333333333333,447,186,125.333333333333,253.166666666667,601,188.333333333333,131.333333333333,252.166666666667,746,188,134.333333333333,248.5,890,185.833333333333,135,243.666666666667,1019,183.5,134.666666666667,239,972,182.333333333333,133.5,237.5,626.5,628.124080274178,1019,234,182.916666666667,182.939047576348,188.333333333333,177.5,126.833333333333,120.611569165070,135,118.666666666667,245.416666666667,239.705930657918,253.333333333333,237.5
31553,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 76","Amahwera",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","Rutana","Murama; Bukemba",-3.98,30.040001,0,"Sorghum","bicolor","(L.) Moench","bicolor",26,TRUE,"TRAIN",806,179.833333333333,128.333333333333,237.666666666667,652,177.5,122.333333333333,238.666666666667,507,177.833333333333,119.333333333333,242.333333333333,363,180,118.666666666667,247.166666666667,234,182.333333333333,119,251.833333333333,281,183.5,120.166666666667,253.333333333333,447,186,125.333333333333,253.166666666667,601,188.333333333333,131.333333333333,252.166666666667,746,188,134.333333333333,248.5,890,185.833333333333,135,243.666666666667,1019,183.5,134.666666666667,239,972,182.333333333333,133.5,237.5,626.5,628.124080274178,1019,234,182.916666666667,182.939047576348,188.333333333333,177.5,126.833333333333,120.611569165070,135,118.666666666667,245.416666666667,239.705930657918,253.333333333333,237.5
25470,"ICRISATSOSORGHUM","ICRISAT-MISN-093","PB 1","","Yamahonda",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/23/1982","BDI","Muramvya","Bugarama",-3.93,30.139999,1800,"Sorghum","bicolor","(L.) Moench","bicolor",30,TRUE,"TRAIN",806,179.833333333333,128.333333333333,237.666666666667,652,177.5,122.333333333333,238.666666666667,507,177.833333333333,119.333333333333,242.333333333333,363,180,118.666666666667,247.166666666667,234,182.333333333333,119,251.833333333333,281,183.5,120.166666666667,253.333333333333,447,186,125.333333333333,253.166666666667,601,188.333333333333,131.333333333333,252.166666666667,746,188,134.333333333333,248.5,890,185.833333333333,135,243.666666666667,1019,183.5,134.666666666667,239,972,182.333333333333,133.5,237.5,626.5,628.124080274178,1019,234,182.916666666667,182.939047576348,188.333333333333,177.5,126.833333333333,120.611569165070,135,118.666666666667,245.416666666667,239.705930657918,253.333333333333,237.5
25498,"ICRISATSOSORGHUM","ICRISAT-MISN-093","PB 64","","",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-N/A","N/A","10/19/1983","06/25/1982","BDI","Ruyigi","Kiharo",-3.77,30.219999,1300,"Sorghum","bicolor","(L.) Moench","bicolor",33,TRUE,"TRAIN",768,211.666666666667,154,268.333333333333,619,208.666666666667,146.833333333333,269.166666666667,491,208.5,143,272.833333333333,334,210.666666666667,142,278.166666666667,234,213.166666666667,142.166666666667,283,274,215,143.5,285.166666666667,428,218,149.166666666667,285.333333333333,577,221,156.333333333333,284.5,705,221.166666666667,160.166666666667,280.833333333333,862,219,161.166666666667,275.5,962,216.5,161,270.666666666667,922,214.666666666667,159.666666666667,268.5,598,599.520844886836,962,234,214.833333333333,214.859993466824,221.166666666667,208.5,151.583333333333,158.896231226837,161.166666666667,142,276.833333333333,270.699704819767,285.333333333333,268.333333333333
31564,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 100","Gatwe",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","Bubanza","Mugongo",-3.73,29.51,0,"Sorghum","bicolor","(L.) Moench","bicolor",41,TRUE,"TRAIN",836,158,117.5,219.166666666667,680,155.5,112.166666666667,219.166666666667,533,153.833333333333,107.833333333333,220.333333333333,399,154.166666666667,106.166666666667,223,296,154.666666666667,105,225.333333333333,372,155.5,105.5,226.166666666667,547,158.166666666667,109.833333333333,226.666666666667,703,160.666666666667,115.166666666667,226.666666666667,850,162.333333333333,119.5,225.5,984,162,121.166666666667,222.833333333333,1087,161.5,122.333333333333,220.5,1011,160.666666666667,121.833333333333,219.666666666667,691.5,634.444721446147,1087,296,158.083333333333,155.170228227077,162.333333333333,153.833333333333,113.666666666667,119.570912575019,122.333333333333,105,222.916666666667,225.711610329313,226.666666666667,219.166666666667
31548,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 60","Mirishoyingoma",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","Ruyigi","Munazi",-3.68,30.33,0,"Sorghum","bicolor","(L.) Moench","bicolor",42,TRUE,"TRAIN",768,211.666666666667,154,268.333333333333,619,208.666666666667,146.833333333333,269.166666666667,491,208.5,143,272.833333333333,334,210.666666666667,142,278.166666666667,234,213.166666666667,142.166666666667,283,274,215,143.5,285.166666666667,428,218,149.166666666667,285.333333333333,577,221,156.333333333333,284.5,705,221.166666666667,160.166666666667,280.833333333333,862,219,161.166666666667,275.5,962,216.5,161,270.666666666667,922,214.666666666667,159.666666666667,268.5,598,599.520844886836,962,234,214.833333333333,214.859993466824,221.166666666667,208.5,151.583333333333,158.896231226837,161.166666666667,142,276.833333333333,270.699704819767,285.333333333333,268.333333333333
31541,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 39","Amahonda atukura",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","","Busebwa",-3.6,29.379999,0,"Sorghum","bicolor","(L.) Moench","bicolor",43,TRUE,"TRAIN",853,179.833333333333,131.166666666667,231.333333333333,705,177.833333333333,126.333333333333,231.833333333333,561,176.5,122.5,233,430,177,121,235.666666666667,330,177.333333333333,119.833333333333,237.666666666667,392,177.833333333333,120,238.166666666667,565,179.666666666667,123.5,238.333333333333,713,181.666666666667,128.333333333333,237.833333333333,857,183,132.166666666667,236.666666666667,988,182.5,133.666666666667,234,1088,182.166666666667,134.833333333333,232,1026,181.666666666667,134.666666666667,231.5,709,710.569338620912,1088,330,179.75,177.631359688789,183,176.5,127.333333333333,122.203234157425,134.833333333333,119.833333333333,234.833333333333,232.227459770125,238.333333333333,231.333333333333
31544,"ICRISATSOSORGHUM","ICRISAT-MISN-N/A","","IZ 52","Amabogobogo",3564,NA,"Traditional cultivar/Landrace","ICRISAT-COOP-0318","GBR","09/30/1986","","BDI","Ruyigi","Nyarumuli",-3.6,30.280001,0,"Sorghum","bicolor","(L.) Moench","bicolor",44,TRUE,"TRAIN",781,206.833333333333,150.5,266.166666666667,635,204,143.833333333333,267.166666666667,508,203.833333333333,140,270.833333333333,349,205.666666666667,138.666666666667,275.666666666667,252,207.666666666667,138.333333333333,280.166666666667,292,209.166666666667,139.333333333333,282.333333333333,447,211.833333333333,144.833333333333,282.5,593,214.666666666667,151.5,281.5,720,214.833333333333,155.333333333333,277.833333333333,879,213,156.666666666667,273,976,211,157,268.5,936,209.5,156,266.333333333333,614,615.512925636625,976,252,209.333333333333,209.356447153276,214.833333333333,203.833333333333,147.666666666667,154.549012600959,157,138.333333333333,274.333333333333,268.633420721617,282.5,266.166666666667
