"GS","VARIABLE","TYPE","TEST.AV.SUIT","TEST.SD.SUIT","TEST.MAX.SUIT","TEST.MIN.SUIT","TEST.OMISSION.RATE","TEST.ERROR","TEST.ERR.DIST","TEST.MXE","TEST.SLOPE","TRAIN.AV.SUIT","TRAIN.SD.SUIT","TRAIN.MAX.SUIT","TRAIN.MIN.SUIT","TRAIN.OMISSION.RATE","TRAIN.ERROR","TRAIN.ERR.DIST","TRAIN.MXE","TRAIN.SLOPE"
"1","tmean","_psuitability",97.479843953186,11.5011286573225,100,0,0.00520156046814044,0.117666960758304,0.666666666666667,0.426803787422851,0.00383692592812702,97.536274509804,10.9999401693730,100,0,0.00392156862745098,0.112707180324645,0.7,0.426132249620094,0.00393065984132483
"1","tmean","_tsuitability",82.4395318595579,36.9257320197884,100,0,0.159947984395319,0.408669381283893,0.566666666666667,0.77144843047953,0.00138649826463748,83.1653594771242,36.2261535823031,100,0,0.150653594771242,0.399413377031408,0.6,0.758852539089001,0.00148867704253210
"1","tmean","_suitability",80.5734720416125,37.3437037801257,100,0,0.163849154746424,0.420728979109068,0.666666666666667,0.868704447747955,0.00227540912385746,81.1362745098039,36.6192525133339,100,0,0.153267973856209,0.411870315588226,0.7,0.866856554211608,0.00251412331296301
"1","tmin","_psuitability",97.479843953186,11.5011286573225,100,0,0.00520156046814044,0.117666960758304,0.666666666666667,0.426803787422851,0.00383692592812702,97.536274509804,10.9999401693730,100,0,0.00392156862745098,0.112707180324645,0.7,0.426132249620094,0.00393065984132483
"1","tmin","_tsuitability",22.0585175552666,38.0081263019765,100,0,0.70481144343303,0.867041739718178,0.2,0.875329661786487,0.00272626318771849,22.7954248366013,38.3897356062467,100,0,0.695424836601307,0.862196996127172,0.2,0.886811849487099,0.00287253583279448
"1","tmin","_suitability",20.7685305591678,36.2062019613787,100,0,0.70481144343303,0.87102297002105,0.466666666666667,0.875329661786487,0.00350521539042810,21.5101307189542,36.7356133915655,100,0,0.695424836601307,0.866586629034233,0.633333333333333,0.886811849487099,0.00348106209302954
"1","tmax","_psuitability",97.479843953186,11.5011286573225,100,0,0.00520156046814044,0.117666960758304,0.666666666666667,0.426803787422851,0.00383692592812702,97.536274509804,10.9999401693730,100,0,0.00392156862745098,0.112707180324645,0.7,0.426132249620094,0.00393065984132483
"1","tmax","_tsuitability",54.8790637191157,42.2681752222903,100,0,0.357607282184655,0.618075582131804,0.633333333333333,0.999998780190571,0.00432688390299569,52.5166666666667,43.0333584694158,100,0,0.387581699346405,0.640775444235062,0.633333333333333,0.999988906584093,0.00409158696077626
"1","tmax","_suitability",54.0988296488947,42.3088915396751,100,0,0.362808842652796,0.624069867049907,0.633333333333333,0.999989021690386,0.0043620510371149,51.8101307189542,43.006239943285,100,0,0.391503267973856,0.645847950498721,0.633333333333333,0.99996271357088,0.00415960078218384
"2","tmean","_psuitability",99.6918075422627,5.15993660979265,100,0,0.00260078023407022,0.0516578218585313,0.08,0.0565858671637136,0.000308142774704144,99.7199346405229,4.7858686498771,100,0,0.00196078431372549,0.0479327551848195,0.2,0.049614073383553,0.000294465127354395
"2","tmean","_tsuitability",84.7321196358908,34.6642154703257,100,0,0.133940182054616,0.378570131684185,0.566666666666667,0.730172925408005,0.00163663592315146,85.5921568627451,33.6922159760940,100,0,0.125490196078431,0.36638509687989,0.633333333333333,0.721928094887362,0.00178776848799749
