"DIST.KM","SUI.IN.AREA","SUI.IN.FRAC","SUI.OT.AREA","SUI.OT.FRAC","UNS.IN.AREA","UNS.IN.FRAC","UNS.OT.AREA","UNS.OT.FRAC","TOTAL.IN","SUI.FRAC","UNS.FRAC","TOTAL.SUI","IN.FRAC","OT.FRAC","GS"
25,4732301.85446167,0.136380632156047,17341384.0946655,0.499762905669579,505647.479248047,0.0145723001171076,12119888.7386475,0.349284162057267,5237949.33370972,0.903464610473823,0.096535389526177,22073685.9491272,0.214386571656773,0.785613428343227,"1"
50,7536660.81948853,0.217199705031175,14537025.1296387,0.418943832794451,1015946.15365601,0.0292786434452567,11609590.0642395,0.334577818729118,8552606.97314453,0.881212107975251,0.118787892024749,22073685.9491272,0.341431912950928,0.658568087049072,"1"
100,10643036.1736450,0.306722615348995,11430649.7754822,0.329420922476631,1982525.74133301,0.0571345873919085,10643010.4765625,0.306721874782466,12625561.9149780,0.842975246988327,0.157024753011673,22073685.9491272,0.482159445331143,0.517840554668857,"1"
200,13692439.3249817,0.394603638637025,8381246.6241455,0.2415398991886,3329974.79876709,0.0959668427937217,9295561.41912842,0.267889619380653,17022414.1237488,0.804377054008968,0.195622945991032,22073685.9491272,0.620305976833157,0.379694023166842,"1"
300,15339145.0539246,0.442060198931563,6734540.89520264,0.194083338894063,4142763.58007812,0.119390675679621,8482772.63781738,0.244465786494753,19481908.6340027,0.787353300033059,0.212646699966941,22073685.9491272,0.694906373556115,0.305093626443885,"1"
400,16554815.0191345,0.47709470083937,5518870.92999268,0.159048836986256,4808965.26147461,0.138590001767963,7816570.9564209,0.225266460406412,21363780.2806091,0.774901014787188,0.225098985212812,22073685.9491272,0.749979638982274,0.250020361017725,"1"
500,17571159.4342957,0.506384821818711,4502526.51483154,0.129758716006915,5369462.52603149,0.154743022773995,7256073.69186401,0.209113439400380,22940621.9603271,0.765940847841123,0.234059152158877,22073685.9491272,0.79602289689142,0.203977103108580,"1"
750,19234774.6148682,0.554328697118416,2838911.33425903,0.0818148407072094,7088893.90649414,0.204295470151237,5536642.31140137,0.159560992023137,26323668.5213623,0.730702660203257,0.269297339796743,22073685.9491272,0.871389339288336,0.128610660711664,"1"
1000,20330805.1450500,0.585915299403223,1742880.80407715,0.050228238422403,8985943.49575806,0.258966712639976,3639592.72213745,0.104889749534398,29316748.6408081,0.69348771905593,0.30651228094407,22073685.9491272,0.921042602123908,0.0789573978760925,"1"
1500,21627371.3928833,0.623281158545318,446314.556243896,0.0128623792803074,11965268.9364929,0.344828160092431,660267.281402588,0.0190283020819438,33592640.3293762,0.64381278699223,0.356187213007770,22073685.9491272,0.97978069646943,0.0202193035305707,"1"
2000,22070576.8054810,0.63605393513565,3109.14364624023,8.96026899760044e-05,12624041.4873657,0.363813385400993,1494.73052978516,4.30767733809812e-05,34694618.2928467,0.636138337628907,0.363861662371093,22073685.9491272,0.99985914705621,0.00014085294379044,"1"
25,5047145.49047852,0.145454139178808,18268793.5577393,0.526490002277385,190803.843231201,0.00549879309434597,11192479.2755737,0.322557065449461,5237949.33370972,0.96357279708621,0.0364272029137912,23315939.0482178,0.21646760527384,0.78353239472616,"2"
50,8120954.08703613,0.234038505184537,15194984.9611816,0.437905636271656,431652.886108398,0.0124398432918946,10951630.2326965,0.315616015251912,8552606.97314453,0.949529671191041,0.0504703288089588,23315939.0482178,0.348300536823409,0.651699463176591,"2"
100,11717347.7176819,0.337683296221486,11598591.3305359,0.334260845234707,908214.197296143,0.0261739065194172,10475068.9215088,0.301881952024390,12625561.9149780,0.928065443469989,0.0719345565300111,23315939.0482178,0.502546678195127,0.497453321804873,"2"
200,15405687.2840881,0.443977885438865,7910251.76412964,0.227966256017328,1616726.83966064,0.046592595991882,9766556.27914429,0.281463262551925,17022414.1237488,0.905023645417892,0.0949763545821078,23315939.0482178,0.660736299414272,0.339263700585728,"2"
