ID VARIABLE	VARIABLE	ID ESTACION	ESTACION
0230&sid	Nivel Instantaneo	0000010001&sid	MOLINOS
9000&sid	Voltaje Acumulador	0000010001&sid	MOLINOS
0240&sid	Precipitacion	0000010002&sid	MORALBA
0310&sid	Precipitaci髇 Acumulada Diaria	0000010002&sid	MORALBA
9000&sid	Voltaje Acumulador	0000010002&sid	MORALBA
0230&sid	Nivel Instantaneo	0011027070&sid	BORAUDO
0231&sid	Nivel Maximo	0011027070&sid	BORAUDO
0232&sid	Nivel Minimo	0011027070&sid	BORAUDO
0240&sid	precipitacion	0011027070&sid	BORAUDO
0310&sid	Precipitacion Acumulada Diaria	0011027070&sid	BORAUDO
9000&sid	Voltaje Acumulador	0011027070&sid	BORAUDO
0230&sid	Nivel Instantaneo	0011037030&sid	LA LOMA PUEBLO NUEVO
0231&sid	Nivel Maximo	0011037030&sid	LA LOMA PUEBLO NUEVO
0232&sid	Nivel Minimo	0011037030&sid	LA LOMA PUEBLO NUEVO
0240&sid	precipitacion	0011037030&sid	LA LOMA PUEBLO NUEVO
0310&sid	Precipitacion Acumulada Diaria	0011037030&sid	LA LOMA PUEBLO NUEVO
9000&sid	voltaje acumulador	0011037030&sid	LA LOMA PUEBLO NUEVO
0230&sid	Nivel Instantaneo	0011047040&sid	QUIBDO
0231&sid	Nivel Maximo	0011047040&sid	QUIBDO
0232&sid	Nivel Minimo	0011047040&sid	QUIBDO
0240&sid	Precipitacion	0011047040&sid	QUIBDO
0310&sid	Precipitacion Acumulada Diaria	0011047040&sid	QUIBDO
9000&sid	Voltaje Acumulador	0011047040&sid	QUIBDO
0027&sid	Humedad aire 2 m	0011105020&sid	CARMEN DEL DARIEN
0068&sid	Temp Aire 2 m	0011105020&sid	CARMEN DEL DARIEN
0069&sid	Temp Max Aire 2 m	0011105020&sid	CARMEN DEL DARIEN
0070&sid	Temp Min Aire 2 m	0011105020&sid	CARMEN DEL DARIEN
0103&sid	Velocidad Viento (10 min)	0011105020&sid	CARMEN DEL DARIEN
0104&sid	Direccion Viento (10min)	0011105020&sid	CARMEN DEL DARIEN
0105&sid	Vel Viento Max (1h)	0011105020&sid	CARMEN DEL DARIEN
0107&sid	Dir Vel Max (1h)	0011105020&sid	CARMEN DEL DARIEN
0108&sid	Temp Virtual (1h)	0011105020&sid	CARMEN DEL DARIEN
0109&sid	Temp Max Virtual	0011105020&sid	CARMEN DEL DARIEN
0110&sid	Temp Min Virtual	0011105020&sid	CARMEN DEL DARIEN
0237&sid	Radiacion Visible	0011105020&sid	CARMEN DEL DARIEN
0239&sid	Radiacion Global	0011105020&sid	CARMEN DEL DARIEN
0240&sid	Precipitacion	0011105020&sid	CARMEN DEL DARIEN
0241&sid	Temp Suelo 10 cm	0011105020&sid	CARMEN DEL DARIEN
