rcp	gcm	ensemble	prec	tmax	tmean	tmin	hur	rsds	obs
historical	access1_0	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	1950-2005	no	
historical	access1_3	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	access1_3	r2i1p1	1850-2005	no	1850-2005	no	no	no	ins-var
historical	access1_3	r3i1p1	no	1850-2005	no	1850-2005	no	no	ins-var
historical	bcc_csm1_1	r1i1p1	1850-2012	1850-2012	1850-2012	1850-2012	no	no	
historical	bcc_csm1_1	r2i1p1	1850-2012	1850-2012	1850-2012	1850-2012	no	no	
historical	bcc_csm1_1	r3i1p1	1850-2012	1850-2012	1850-2012	1850-2012	no	no	
historical	bcc_csm1_1_m	r1i1p1	1850-2012	1850-2012	1850-2012	1850-2012	no	no	
historical	bcc_csm1_1_m	r2i1p1	1850-2012	1850-2012	1850-2012	1850-2012	no	no	
historical	bcc_csm1_1_m	r3i1p1	1850-2012	1850-2012	1850-2012	1850-2012	no	no	
historical	bnu_esm	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	cancm4	r10i1p1	1961-2005	no	1961-2005	no	no	1961-2005	ins-var
historical	cancm4	r1i1p1	1961-2005	no	1961-2005	no	no	1961-2005	ins-var
historical	cancm4	r2i1p1	1961-2005	no	1961-2005	no	no	1961-2005	ins-var
historical	cancm4	r3i1p1	1961-2005	no	1961-2005	no	no	1961-2005	ins-var
historical	cancm4	r4i1p1	1961-2005	no	1961-2005	no	no	1961-2005	ins-var
historical	cancm4	r5i1p1	1961-2005	no	1961-2005	no	no	1961-2005	ins-var
historical	cancm4	r6i1p1	1961-2005	no	1961-2005	no	no	1961-2005	ins-var
historical	cancm4	r7i1p1	1961-2005	no	1961-2005	no	no	1961-2005	ins-var
historical	cancm4	r8i1p1	1961-2005	no	1961-2005	no	no	1961-2005	ins-var
historical	cancm4	r9i1p1	1961-2005	no	1961-2005	no	no	1961-2005	ins-var
historical	canesm2	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	canesm2	r2i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	canesm2	r3i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	canesm2	r4i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	canesm2	r5i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	no	
historical	ccsm4	r1i1p1	1850-2005	1850-2005	1850-2005	1850-2005	no	1850-2005	
