rcp	gcm	ensemble	prec	tmax	tmean	tmin	hur	rsds	obs
rcp85	access1_0	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	access1_3	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	bcc_csm1_1	r1i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp85	bcc_csm1_1_m	r1i1p1	2006-2099	2006-2099	2006-2099	2006-2099	no	no	
rcp85	bnu_esm	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	canesm2	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	canesm2	r2i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	canesm2	r3i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	canesm2	r4i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	canesm2	r5i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	ccsm4	r1i1p1	2006-2100	2006-2300	2005-2300	2006-2300	no	no	
rcp85	ccsm4	r2i1p1	2006-2100	2005-2100	2005-2100	2005-2100	no	no	
rcp85	ccsm4	r3i1p1	2006-2100	2005-2100	2005-2100	2005-2100	no	no	
rcp85	ccsm4	r4i1p1	2006-2100	2005-2100	2005-2100	2005-2100	no	no	
rcp85	ccsm4	r5i1p1	2006-2100	2005-2100	2005-2100	2005-2100	no	no	
rcp85	ccsm4	r6i1p1	2006-2100	2005-2100	2005-2100	2005-2100	no	no	
rcp85	cesm1_bgc	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	cesm1_cam5	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	cesm1_cam5	r2i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	cesm1_cam5	r3i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	cesm1_waccm	r2i1p1	2006-2099	2006-2099	2006-2099	2006-2099	no	no	
rcp85	cmcc_cesm	r1i1p1	no	2000-2095	2000-2095	2000-2095	no	no	ins-var
rcp85	cmcc_cm	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	cmcc_cms	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	cnrm_cm5	r10i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	cnrm_cm5	r1i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp85	cnrm_cm5	r2i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	cnrm_cm5	r4i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	cnrm_cm5	r6i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	csiro_mk3_6_0	r10i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	csiro_mk3_6_0	r1i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp85	csiro_mk3_6_0	r2i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp85	csiro_mk3_6_0	r3i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp85	csiro_mk3_6_0	r4i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	csiro_mk3_6_0	r5i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	csiro_mk3_6_0	r6i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	csiro_mk3_6_0	r7i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	csiro_mk3_6_0	r8i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	csiro_mk3_6_0	r9i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	ec_earth	r12i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	ec_earth	r13i1p1	2006-2100	2010-2100	2006-2100	2010-2100	no	no	
rcp85	ec_earth	r14i1p1	2006-2100	2010-2100	2006-2100	2010-2100	no	no	ins-yr
rcp85	ec_earth	r1i1p1	2006-2100	2010-2100	2006-2100	2010-2100	no	no	
rcp85	ec_earth	r2i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	ec_earth	r6i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	ec_earth	r8i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	ec_earth	r9i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	fgoals_g2	r1i1p1	2006-2101	2006-2101	2006-2101	2006-2101	no	no	
rcp85	fgoals_s2	r1i1p1	2006-2100	no	2006-2100	no	no	no	ins-var
rcp85	fgoals_s2	r2i1p1	2006-2100	no	2006-2100	no	no	no	ins-var
rcp85	fgoals_s2	r3i1p1	2006-2100	no	2006-2100	no	no	no	ins-var
rcp85	fio_esm	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	fio_esm	r2i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	fio_esm	r3i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	gfdl_cm3	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	gfdl_esm2g	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	gfdl_esm2m	r1i1p1	2006-2100	2006-2100	2006-2100	2006-2100	no	no	
rcp85	giss_e2_h	r1i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp85	giss_e2_h	r1i1p2	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp85	giss_e2_h	r1i1p3	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
rcp85	giss_e2_r	r1i1p1	2006-2300	2006-2300	2006-2300	2006-2300	no	no	
