RCP	MODEL	PERIOD	GRID	MINIMUM	MAXIMUM	MEAN	STD	TOP	LEFT	RIGHT	BOTTOM	CELLSIZEX	CELLSIZEY	VALUETYPE	COLUMNCOUNT	ROWCOUNT
rcp60	bcc_csm1_1	2020_2049	bio_1	-253	336	102.118491703146	142.080885085472	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	bio_10	-119	402	203.639381661433	95.7593180120431	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	bio_12	0	11765	731.168996734776	681.457855029031	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	bio_13	0	3012	124.069493901475	115.595676398396	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	bio_15	0	322	61.6511897560963	33.7988414908674	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	bio_16	0	8056	321.199662227077	301.682086617552	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	bio_17	0	2479	73.8184793913409	99.9352679775155	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	bio_18	0	7504	211.312434138971	187.36763912846	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	bio_19	0	5341	136.409623463844	212.610011679335	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	bio_2	9	218	111.056576388747	32.5547140349314	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	3	43200	18000
rcp60	bcc_csm1_1	2020_2049	bio_3	6	96	38.0543042826382	20.3393313846448	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	3	43200	18000
rcp60	bcc_csm1_1	2020_2049	bio_4	62	22194	8069.3317597331	4944.94719670648	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	bio_5	-82	509	276.335858224617	103.597732763818	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	bio_7	53	713	344.71721609799	132.579288363216	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	bio_9	-484	387	52.8447881278961	193.959956116784	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	cons_mths	0	12	9.61578051300827	3.54782460440434	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	3	43200	18000
rcp60	bcc_csm1_1	2020_2049	prec_10	0	1250	61.2360967286875	68.5320600636575	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	prec_11	0	1112	57.7603311127917	67.3529000029282	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	prec_12	0	998	56.2910494292125	74.7448574119823	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	prec_2	0	864	52.6442308206245	74.4595225622789	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	prec_3	0	808	56.9976676493396	76.5643192667461	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	prec_4	0	957	55.2098931445586	69.7844976638667	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	prec_5	0	1297	58.1488420769481	73.1531627256032	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	prec_6	0	2884	63.6412449328933	78.2086332418428	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	prec_7	0	3012	74.3755258004228	91.8093637266527	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	prec_8	0	2172	73.2392065850571	82.9501342790587	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	prec_9	0	1311	65.3536726003826	73.4687121897035	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmax_1	-476	435	54.4205046674458	223.513311834021	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmax_10	-222	420	166.983294211421	151.219417939981	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmax_11	-366	419	111.733779814494	187.413253075112	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmax_12	-446	429	72.5277321559232	209.62347551982	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmax_2	-421	431	68.617986087582	217.383460796943	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmax_3	-421	437	105.710992831955	199.212268640569	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmax_4	-333	445	154.383230275386	165.824151467838	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmax_5	-217	461	199.440808956869	135.459297614113	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmax_7	-120	509	254.511590226358	97.1836372009418	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmax_8	-111	497	248.294690163257	100.736979270786	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmax_9	-141	464	214.691282241362	119.884737108103	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmean_1	-509	357	2.79939460976766	213.670036572903	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmean_10	-244	348	115.192206499232	136.733710400015	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmean_11	-403	344	61.3145687238418	174.852936360498	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmean_12	-483	347	21.6228011276774	199.151039876148	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmean_2	-472	353	14.0805060364368	209.304761665097	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmean_3	-435	351	48.1874219279673	192.866288020813	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmean_4	-348	357	96.1492282000695	158.421834734928	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmean_5	-246	381	141.497891966258	124.415913513552	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmean_6	-181	403	177.885985808385	98.9681221439257	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmean_7	-182	413	196.240685538922	88.5529977540976	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmean_8	-180	406	190.536167488082	90.9840133427987	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmean_9	-168	381	159.441407834181	107.291000065133	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmin_1	-543	281	-49.3214805535705	204.91482053847	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmin_11	-441	283	10.3955965362423	163.685427252298	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmin_12	-521	282	-29.7826951848428	189.864681778985	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmin_2	-524	280	-40.9566314250321	202.39291023563	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmin_3	-480	295	-9.83541106702957	187.852140421886	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmin_4	-377	298	37.4150224452792	152.399413560611	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmin_5	-276	318	83.0549478639755	115.211455012893	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmin_6	-244	341	118.554215740848	91.4202041099411	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmin_8	-250	331	132.278056297545	84.5007819418895	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2020_2049	tmin_9	-246	328	103.691405058226	97.4027479847319	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2040_2069	bio_10	-115	408	209.465533338918	96.0648581116746	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2040_2069	bio_11	-482	309	6.64789768163643	191.96831470215	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2040_2069	bio_12	0	11999	740.703360077398	682.235882396426	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2040_2069	bio_13	0	3024	124.932477957527	115.626386435018	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2040_2069	bio_14	0	736	20.2525532932421	29.0488732658188	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2040_2069	bio_15	0	322	61.363627533099	34.5307886953522	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp60	bcc_csm1_1	2040_2069	bio_16	0	8120	325.043010206892	303.236746387128	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
