RCP	MODEL	PERIOD	GRID	MINIMUM	MAXIMUM	MEAN	STD	TOP	LEFT	RIGHT	BOTTOM	CELLSIZEX	CELLSIZEY	VALUETYPE	COLUMNCOUNT	ROWCOUNT
rcp45	bcc_csm1_1	2020_2049	bio_1	-249	335	102.997053142211	142.056214859793	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp45	bcc_csm1_1	2020_2049	bio_10	-122	399	204.319503221477	95.8142408793224	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp45	bcc_csm1_1	2020_2049	bio_11	-490	306	-1.8038593706675	196.040209300789	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp45	bcc_csm1_1	2020_2049	bio_12	0	11879	734.14138626362	683.430059630974	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp45	bcc_csm1_1	2020_2049	bio_13	0	2986	124.696278446537	115.89224494233	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp45	bcc_csm1_1	2020_2049	bio_14	0	724	19.4702476122607	29.013301857788	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp45	bcc_csm1_1	2020_2049	bio_15	0	318	62.5831683432562	33.5751316693867	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp45	bcc_csm1_1	2020_2049	bio_18	0	7546	212.365897164113	189.341893432772	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp45	bcc_csm1_1	2020_2049	bio_19	0	5341	134.482811403725	211.23109883536	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	6	43200	18000
rcp45	bcc_csm1_1	2020_2049	bio_2	9	219	110.871594087616	32.6845597219135	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	3	43200	18000
rcp45	bcc_csm1_1	2020_2049	bio_3	6	95	37.9948025287054	20.4183312963729	90.0000078231096	-180	180.000018775463	-60	8.33333376795053E-03	8.33333376795053E-03	3	43200	18000
