rcp	gcm	ensemble	pr	tas	tasmax	tasmin	hur	rsds	sfcWind
rcp60	CESM1_CAM5	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp60	CESM1_CAM5	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp60	CESM1_CAM5	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp60	CESM1_CAM5	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp60	CESM1_CAM5	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp60	CESM1_CAM5	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp60	CESM1_CAM5	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp60	bcc_csm1_1	r1i1p1	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc
rcp60	bcc_csm1_1	r1i1p1	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc
rcp60	bcc_csm1_1	r1i1p1	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc
rcp60	bcc_csm1_1	r1i1p1	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc	20060101-21001230.nc
