rcp	gcm	ensemble	pr	tasmin	tas	tasmin	hur	rsds	sfcWind
rcp_85	miroc_esm	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp_85	miroc_esm_chem	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp_85	miroc_miroc5	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp_85	miroc_miroc5	r2i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp_85	miroc_miroc5	r3i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc
rcp_85	mohc_hadgem2_cc	r1i1p1	20251201-21001230.nc	20051201-21001230.nc	20051201-21001230.nc	20051201-21001230.nc	20051201-21001230.nc	20051201-21001230.nc	20051201-21001230.nc	N/A
rcp_85	mohc_hadgem2_cc	r2i1p1	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	N/A
rcp_85	mohc_hadgem2_cc	r3i1p1	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	20051201-20991230.nc	N/A
rcp_85	mpi_esm_lr	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-20691231.nc	20060101-21001231.nc	N/A	20060101-21001231.nc	20060101-20891231.nc
rcp_85	mpi_esm_lr	r2i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	20060101-21001231.nc	N/A
rcp_85	mpi_esm_lr	r3i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20100101-21001231.nc	20060101-21001231.nc	N/A	20060101-21001231.nc	20100101-21001231.nc
rcp_85	mpi_esm_mr	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	20060101-21001231.nc	N/A
rcp_85	mri_cgcm3	r1i1p1	20060101-21001231.nc	N/A	N/A	N/A	N/A	20630101-21001231.nc	N/A	N/A
rcp_85	ncar_ccsm4	r2i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp_85	ncar_ccsm4	r3i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp_85	ncar_ccsm4	r4i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp_85	ncar_ccsm4	r5i1p1	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A	N/A	N/A
rcp_85	ncar_ccsm4	r6i1p1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
rcp_85	ncc_noresm1_m	r1i1p1	20060101-21001231.nc	20060101-21001231.nc	N/A	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	20060101-21001231.nc	N/A
