rcp	gcm	ensemble	rsds
rcp60	ipsl_cm5a_lr	r1i1p1	20060101-21001231.nc
rcp60	ipsl_cm5a_lr	r1i1p1	20060101-21001231.nc
rcp60	ipsl_cm5a_lr	r1i1p1	20060101-21001231.nc
rcp60	ipsl_cm5a_lr	r1i1p1	20060101-21001231.nc
rcp60	ipsl_cm5a_lr	r1i1p1	20060101-21001231.nc
rcp60	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp60	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp60	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp60	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp60	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp60	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp60	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp60	lasg_fgoals_s2	r1i1p1	N/A
rcp60	lasg_fgoals_s2	r1i1p1	N/A
rcp60	lasg_fgoals_s2	r1i1p1	N/A
rcp60	lasg_fgoals_s2	r1i1p1	N/A
rcp60	lasg_fgoals_s2	r1i1p1	N/A
rcp60	lasg_fgoals_s2	r1i1p1	N/A
rcp60	lasg_fgoals_s2	r1i1p1	N/A
rcp60	miroc_esm	r1i1p1	20060101-21001231.nc
rcp60	miroc_esm	r1i1p1	20060101-21001231.nc
rcp60	miroc_esm	r1i1p1	20060101-21001231.nc
rcp60	miroc_esm	r1i1p1	20060101-21001231.nc
rcp60	miroc_esm	r1i1p1	20060101-21001231.nc
rcp60	miroc_esm	r1i1p1	20060101-21001231.nc
rcp60	miroc_esm	r1i1p1	20060101-21001231.nc
rcp60	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp60	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp60	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp60	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp60	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp60	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp60	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp60	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp60	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp60	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp60	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp60	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp60	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp60	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp60	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp60	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp60	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp60	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp60	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp60	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp60	mri_cgcm3	r1i1p1	20060101-21001231.nc
rcp60	ncar_ccsm4	r1i1p1	N/A
rcp60	ncar_ccsm4	r1i1p1	N/A
rcp60	ncar_ccsm4	r1i1p1	N/A
rcp60	ncar_ccsm4	r1i1p1	N/A
rcp60	ncar_ccsm4	r1i1p1	N/A
rcp60	ncar_ccsm4	r1i1p1	N/A
rcp60	ncar_ccsm4	r1i1p1	N/A
rcp85	access1_0	r1i1p1	20060101-21001231.nc
rcp85	access1_0	r1i1p1	20060101-21001231.nc
rcp85	access1_0	r1i1p1	20060101-21001231.nc
rcp85	access1_0	r1i1p1	20060101-21001231.nc
rcp85	access1_0	r1i1p1	20060101-21001231.nc
rcp85	access1_0	r1i1p1	20060101-21001231.nc
rcp85	access1_0	r1i1p1	20060101-21001231.nc
rcp85	access1_3	r1i1p1	20060101-21001231.nc
rcp85	access1_3	r1i1p1	20060101-21001231.nc
rcp85	access1_3	r1i1p1	20060101-21001231.nc
rcp85	access1_3	r1i1p1	20060101-21001231.nc
rcp85	access1_3	r1i1p1	20060101-21001231.nc
rcp85	access1_3	r1i1p1	20060101-21001231.nc
rcp85	access1_3	r1i1p1	20060101-21001231.nc
rcp85	bcc_csm1_1	r1i1p1	20060101-21001231.nc
rcp85	bcc_csm1_1	r1i1p1	20060101-21001231.nc
rcp85	bcc_csm1_1	r1i1p1	20060101-21001231.nc
rcp85	bcc_csm1_1	r1i1p1	20060101-21001231.nc
rcp85	bcc_csm1_1	r1i1p1	20060101-21001231.nc
rcp85	bcc_csm1_1	r1i1p1	20060101-21001231.nc
rcp85	bcc_csm1_1	r1i1p1	20060101-21001231.nc
rcp85	bcc_csm1_1_m	r1i1p1	N/A
rcp85	bcc_csm1_1_m	r1i1p1	N/A
rcp85	bcc_csm1_1_m	r1i1p1	N/A
rcp85	bcc_csm1_1_m	r1i1p1	N/A
rcp85	bcc_csm1_1_m	r1i1p1	N/A
rcp85	bcc_csm1_1_m	r1i1p1	N/A
rcp85	bcc_csm1_1_m	r1i1p1	N/A
rcp85	bnu_esm	r1i1p1	20060101-21001231.nc
rcp85	bnu_esm	r1i1p1	20060101-21001231.nc
rcp85	bnu_esm	r1i1p1	20060101-21001231.nc
rcp85	bnu_esm	r1i1p1	20060101-21001231.nc
rcp85	bnu_esm	r1i1p1	20060101-21001231.nc
rcp85	bnu_esm	r1i1p1	20060101-21001231.nc
rcp85	bnu_esm	r1i1p1	20060101-21001231.nc
rcp85	canesm2	r1i1p1	20060101-21001231.nc
rcp85	canesm2	r1i1p1	20060101-21001231.nc
rcp85	canesm2	r1i1p1	20060101-21001231.nc
rcp85	canesm2	r1i1p1	20060101-21001231.nc
rcp85	canesm2	r1i1p1	20060101-21001231.nc
rcp85	canesm2	r1i1p1	20060101-21001231.nc
rcp85	canesm2	r1i1p1	20060101-21001231.nc
rcp85	cesm1_bgc	r1i1p1	N/A
rcp85	cesm1_bgc	r1i1p1	N/A
rcp85	cesm1_bgc	r1i1p1	N/A
rcp85	cesm1_bgc	r1i1p1	N/A
rcp85	cesm1_bgc	r1i1p1	N/A
rcp85	cesm1_bgc	r1i1p1	N/A
rcp85	cesm1_bgc	r1i1p1	N/A
rcp85	cesm1_cam5	r1i1p1	N/A
rcp85	cesm1_cam5	r1i1p1	N/A
rcp85	cesm1_cam5	r1i1p1	N/A
rcp85	cesm1_cam5	r1i1p1	N/A
rcp85	cesm1_cam5	r1i1p1	N/A
rcp85	cesm1_cam5	r1i1p1	N/A
rcp85	cesm1_cam5	r1i1p1	N/A
rcp85	cmcc_cms	r1i1p1	20060101-21001231.nc
rcp85	cmcc_cms	r1i1p1	20060101-21001231.nc
rcp85	cmcc_cms	r1i1p1	20060101-21001231.nc
rcp85	cmcc_cms	r1i1p1	20060101-21001231.nc
rcp85	cmcc_cms	r1i1p1	20060101-21001231.nc
rcp85	cmcc_cms	r1i1p1	20060101-21001231.nc
rcp85	cmcc_cms	r1i1p1	20060101-21001231.nc
rcp85	csiro_acess1_0	r1i1p1	N/A
rcp85	csiro_acess1_0	r1i1p1	N/A
rcp85	csiro_acess1_0	r1i1p1	N/A
rcp85	csiro_acess1_0	r1i1p1	N/A
rcp85	csiro_acess1_0	r1i1p1	N/A
rcp85	csiro_acess1_0	r1i1p1	N/A
rcp85	csiro_acess1_0	r1i1p1	N/A
rcp85	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp85	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp85	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp85	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp85	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp85	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp85	csiro_mk3_6_0	r1i1p1	20060101-21001231.nc
rcp85	ec_earth	r1i1p1	N/A
rcp85	ec_earth	r1i1p1	N/A
rcp85	ec_earth	r1i1p1	N/A
rcp85	ec_earth	r1i1p1	N/A
rcp85	ec_earth	r1i1p1	N/A
rcp85	ec_earth	r1i1p1	N/A
rcp85	ec_earth	r1i1p1	N/A
rcp85	fgoals_g2	r1i1p1	N/A
rcp85	fgoals_g2	r1i1p1	N/A
rcp85	fgoals_g2	r1i1p1	N/A
rcp85	fgoals_g2	r1i1p1	N/A
rcp85	fgoals_g2	r1i1p1	N/A
rcp85	fgoals_g2	r1i1p1	N/A
rcp85	fgoals_g2	r1i1p1	N/A
rcp85	gfdl_cm3	r1i1p1	20060101-21001231.nc
rcp85	gfdl_cm3	r1i1p1	20060101-21001231.nc
rcp85	gfdl_cm3	r1i1p1	20060101-21001231.nc
rcp85	gfdl_cm3	r1i1p1	20060101-21001231.nc
rcp85	gfdl_cm3	r1i1p1	20060101-21001231.nc
rcp85	gfdl_cm3	r1i1p1	20060101-21001231.nc
rcp85	gfdl_cm3	r1i1p1	20060101-21001231.nc
rcp85	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp85	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp85	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp85	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp85	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp85	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp85	gfdl_esm2g	r1i1p1	20060101-21001231.nc
rcp85	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp85	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp85	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp85	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp85	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp85	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp85	gfdl_esm2m	r1i1p1	20060101-21001231.nc
rcp85	gfld_esm2g	r1i1p1	20060101-21001231.nc
rcp85	gfld_esm2g	r1i1p1	20060101-21001231.nc
rcp85	gfld_esm2g	r1i1p1	20060101-21001231.nc
rcp85	gfld_esm2g	r1i1p1	20060101-21001231.nc
rcp85	gfld_esm2g	r1i1p1	20060101-21001231.nc
rcp85	gfld_esm2g	r1i1p1	20060101-21001231.nc
rcp85	gfld_esm2g	r1i1p1	20060101-21001231.nc
rcp85	gfld_esm2m	r1i1p1	20060101-21001231.nc
rcp85	gfld_esm2m	r1i1p1	20060101-21001231.nc
rcp85	gfld_esm2m	r1i1p1	20060101-21001231.nc
rcp85	gfld_esm2m	r1i1p1	20060101-21001231.nc
rcp85	gfld_esm2m	r1i1p1	20060101-21001231.nc
rcp85	gfld_esm2m	r1i1p1	20060101-21001231.nc
rcp85	gfld_esm2m	r1i1p1	20060101-21001231.nc
rcp85	hadgem2_es	r1i1p1	20051201-20991230.nc
rcp85	hadgem2_es	r1i1p1	20051201-20991230.nc
rcp85	hadgem2_es	r1i1p1	20051201-20991230.nc
rcp85	hadgem2_es	r1i1p1	20051201-20991230.nc
rcp85	hadgem2_es	r1i1p1	20051201-20991230.nc
rcp85	hadgem2_es	r1i1p1	20051201-20991230.nc
rcp85	hadgem2_es	r1i1p1	20051201-20991230.nc
rcp85	inm_cm4	r1i1p1	20060101-21001231.nc
rcp85	inm_cm4	r1i1p1	20060101-21001231.nc
rcp85	inm_cm4	r1i1p1	20060101-21001231.nc
rcp85	inm_cm4	r1i1p1	20060101-21001231.nc
rcp85	inm_cm4	r1i1p1	20060101-21001231.nc
rcp85	inm_cm4	r1i1p1	20060101-21001231.nc
rcp85	inm_cm4	r1i1p1	20060101-21001231.nc
rcp85	ipsl_cm5a_lr	r1i1p1	N/A
rcp85	ipsl_cm5a_lr	r1i1p1	N/A
rcp85	ipsl_cm5a_lr	r1i1p1	N/A
rcp85	ipsl_cm5a_lr	r1i1p1	N/A
rcp85	ipsl_cm5a_lr	r1i1p1	N/A
rcp85	ipsl_cm5a_lr	r1i1p1	N/A
rcp85	ipsl_cm5a_lr	r1i1p1	N/A
rcp85	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp85	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp85	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp85	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp85	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp85	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp85	ipsl_cm5a_mr	r1i1p1	20060101-21001231.nc
rcp85	ipsl_cm5b_lr	r1i1p1	20060101-21001231.nc
rcp85	ipsl_cm5b_lr	r1i1p1	20060101-21001231.nc
rcp85	ipsl_cm5b_lr	r1i1p1	20060101-21001231.nc
rcp85	ipsl_cm5b_lr	r1i1p1	20060101-21001231.nc
rcp85	ipsl_cm5b_lr	r1i1p1	20060101-21001231.nc
rcp85	ipsl_cm5b_lr	r1i1p1	20060101-21001231.nc
rcp85	ipsl_cm5b_lr	r1i1p1	20060101-21001231.nc
rcp85	miroc_esm	r1i1p1	20060101-21001231.nc
rcp85	miroc_esm	r1i1p1	20060101-21001231.nc
rcp85	miroc_esm	r1i1p1	20060101-21001231.nc
rcp85	miroc_esm	r1i1p1	20060101-21001231.nc
rcp85	miroc_esm	r1i1p1	20060101-21001231.nc
rcp85	miroc_esm	r1i1p1	20060101-21001231.nc
rcp85	miroc_esm	r1i1p1	20060101-21001231.nc
rcp85	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp85	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp85	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp85	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp85	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp85	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp85	miroc_esm_chem	r1i1p1	20060101-21001231.nc
rcp85	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp85	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp85	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp85	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp85	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp85	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp85	miroc_miroc5	r1i1p1	20060101-21001231.nc
rcp85	mohc_hadgem2_cc	r1i1p1	20051201-21001230.nc
rcp85	mohc_hadgem2_cc	r1i1p1	20051201-21001230.nc
rcp85	mohc_hadgem2_cc	r1i1p1	20051201-21001230.nc
rcp85	mohc_hadgem2_cc	r1i1p1	20051201-21001230.nc
rcp85	mohc_hadgem2_cc	r1i1p1	20051201-21001230.nc
rcp85	mohc_hadgem2_cc	r1i1p1	20051201-21001230.nc
rcp85	mohc_hadgem2_cc	r1i1p1	20051201-21001230.nc
rcp85	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp85	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp85	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp85	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp85	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp85	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp85	mpi_esm_lr	r1i1p1	20060101-21001231.nc
rcp85	mpi_esm_mr	r1i1p1	20060101-21001231.nc
rcp85	mpi_esm_mr	r1i1p1	20060101-21001231.nc
rcp85	mpi_esm_mr	r1i1p1	20060101-21001231.nc
rcp85	mpi_esm_mr	r1i1p1	20060101-21001231.nc
rcp85	mpi_esm_mr	r1i1p1	20060101-21001231.nc
rcp85	mpi_esm_mr	r1i1p1	20060101-21001231.nc
rcp85	mpi_esm_mr	r1i1p1	20060101-21001231.nc
rcp85	mri_cgcm3	r1i1p1	N/A
rcp85	mri_cgcm3	r1i1p1	N/A
rcp85	mri_cgcm3	r1i1p1	N/A
rcp85	mri_cgcm3	r1i1p1	N/A
rcp85	mri_cgcm3	r1i1p1	N/A
rcp85	mri_cgcm3	r1i1p1	N/A
rcp85	mri_cgcm3	r1i1p1	N/A
rcp85	ncar_ccsm4	r1i1p1	N/A
rcp85	ncar_ccsm4	r1i1p1	N/A
rcp85	ncar_ccsm4	r1i1p1	N/A
rcp85	ncar_ccsm4	r1i1p1	N/A
rcp85	ncar_ccsm4	r1i1p1	N/A
rcp85	ncar_ccsm4	r1i1p1	N/A
rcp85	ncar_ccsm4	r1i1p1	N/A
rcp85	ncc_noresm1_m	r1i1p1	20060101-21001231.nc
rcp85	ncc_noresm1_m	r1i1p1	20060101-21001231.nc
rcp85	ncc_noresm1_m	r1i1p1	20060101-21001231.nc
rcp85	ncc_noresm1_m	r1i1p1	20060101-21001231.nc
rcp85	ncc_noresm1_m	r1i1p1	20060101-21001231.nc
rcp85	ncc_noresm1_m	r1i1p1	20060101-21001231.nc
rcp85	ncc_noresm1_m	r1i1p1	20060101-21001231.nc
