GS,VARIABLE,KILL,MIN,OPMIN,OPMAX,MAX
6,prec,60,100,200,1540,2760
6,tmean,100,231,267.5,314,323.5
6,tmin,80,192,201.5,235.5,259.5
6,tmax,120,257,292,351,374
