"id","data_provider_id","data_resource_id","institution_code_id","collection_code_id","caralogue_number_id","rank_name","specie_name","genus_name","family_name","order_name","class_name","phylum_name","kingdom_name","specie_id","genus_id","family_id","order_id","class_id","phylum_id","kingdom_id","rank_id","latitude","longitude","iso_country_code","year_created","month_created","occurrence_date","basis_of_record","basis_of_record_name","altitude_metres","IsInRangeLongitude","IsInRangeLatitude","IsInRange","IsWithin","IsIndian","UID","IS_UNIQUE"
42254125,92,1430,7973,801126,40482535,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,8.430000305,77.90000153,"IN","null","null","null",0,"unknown","40",1,1,1,1,1,11,TRUE
42254127,92,1430,7973,801126,40482536,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,8.569999695,77.93000031,"IN","null","null","null",0,"unknown","10",1,1,1,1,1,12,TRUE
42254118,92,1430,7973,801126,40482529,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,8.680000305,77.47000122,"IN","null","null","null",0,"unknown","160",1,1,1,1,1,13,TRUE
42254117,92,1430,7973,801126,40482528,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,8.75,77.37999725,"IN","null","null","null",0,"unknown","160",1,1,1,1,1,14,TRUE
42254130,92,1430,7973,801126,40482538,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,8.829999924,77.87999725,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,15,TRUE
42254131,92,1430,7973,801126,40482539,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,9,78.05000305,"IN","null","null","null",0,"unknown","80",1,1,1,1,1,16,TRUE
42254116,92,1430,7973,801126,40482527,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,9.069999695,77.34999847,"IN","null","null","null",0,"unknown","240",1,1,1,1,1,17,TRUE
42254114,92,1430,7973,801126,40482525,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,9.079999924,77.44999695,"IN","null","null","null",0,"unknown","200",1,1,1,1,1,18,TRUE
42254112,92,1430,7973,801126,40482523,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,9.470000267,78.88999939,"IN","null","null","null",0,"unknown","220",1,1,1,1,1,19,TRUE
42254113,92,1430,7973,801126,40482524,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,9.470000267,78.88999939,"IN","null","null","null",0,"unknown","220",1,1,1,1,1,20,FALSE
42258026,92,1430,7973,801126,40483011,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,9.470000267,78.88999939,"IN","null","null","null",0,"unknown","220",1,1,1,1,1,21,FALSE
42254132,92,1430,7973,801126,40482540,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,9.510000229,78.08999634,"IN","null","null","null",0,"unknown","180",1,1,1,1,1,22,TRUE
42254136,92,1430,7973,801126,40482543,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,9.550000191,78.52999878,"IN","null","null","null",0,"unknown","90",1,1,1,1,1,23,TRUE
42254110,92,1430,7973,801126,40482521,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,9.680000305,77.81999969,"IN","null","null","null",0,"unknown","410",1,1,1,1,1,24,TRUE
42254137,92,1430,7973,801126,40482544,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,9.770000458,78.44999695,"IN","null","null","null",0,"unknown","150",1,1,1,1,1,25,TRUE
42254138,92,1430,7973,801126,40482545,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,9.829999924,78.62999725,"IN","null","null","null",0,"unknown","100",1,1,1,1,1,26,TRUE
42254141,92,1430,7973,801126,40482547,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,9.829999924,78.62999725,"IN","null","null","null",0,"unknown","100",1,1,1,1,1,27,FALSE
42254109,92,1430,7973,801126,40482520,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,9.899999619,77.77999878,"IN","null","null","null",0,"unknown","400",1,1,1,1,1,28,TRUE
42304922,92,1430,7973,801126,40487615,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,9.909999847,78.12000275,"IN","null","null","null",0,"unknown","0",1,1,1,1,1,29,TRUE
42254107,92,1430,7973,801126,40482519,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,9.970000267,77.75,"IN","null","null","null",0,"unknown","420",1,1,1,1,1,30,TRUE
40160161,199,1429,25216,894252,3533394,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.0333004,77.75,"IN","0","0","null",4,"germplasm","null",1,1,1,1,1,31,FALSE
42254100,92,1430,7973,801126,40482513,"subspecies","null","Arachis","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae","null",16118362,13146161,"13141681",13140929,13140814,13140804,8000,10.07999992,77.95999908,"IN","null","null","null",0,"unknown","340",1,1,1,1,1,32,TRUE
