id,data_provider_id,data_resource_id,institution_code_id,collection_code_id,caralogue_number_id,rank_name,specie_name,genus_name,family_name,order_name,class_name,phylum_name,kingdom_name,specie_id,genus_id,family_id,order_id,class_id,phylum_id,kingdom_id,rank_id,latitude,longitude,iso_country_code,year_created,month_created,occurrence_date,basis_of_record,basis_of_record_name,altitude_metres,IsInRangeLongitude,IsInRangeLatitude,IsInRange
40143981,199,1429,25216,894252,2454564,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-20.29999924,32.81669998,ZW,0,0,null,4,germplasm,700,1,1,1
91206867,199,1429,25216,894252,2454500,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-20.2833004,30.4666996,ZW,0,0,null,0,unknown,580,1,1,1
91199766,199,1429,25216,894252,2454504,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-20.08329964,30.83329964,ZW,0,0,null,0,unknown,900,1,1,1
91206873,199,1429,25216,894252,2454505,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-20.08329964,30.83329964,ZW,0,0,null,0,unknown,900,1,1,1
40143975,199,1429,25216,894252,2454556,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-20.04999924,32.86669922,ZW,0,0,null,4,germplasm,700,1,1,1
91202038,199,1429,25216,894252,2454452,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-20,31.83329964,ZW,0,0,null,0,unknown,900,1,1,1
91204571,199,1429,25216,894252,2454511,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.88330078,30.85000038,ZW,0,0,null,0,unknown,1200,1,1,1
205436173,199,1429,25216,894252,2454441,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.85000038,30.36669922,ZW,null,null,null,0,unknown,1250,1,1,1
40144091,199,1429,25216,894252,2454757,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.83329964,30.2166996,ZW,0,0,null,4,germplasm,1200,1,1,1
91209930,199,1429,25216,894252,2454512,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.79999924,30.85000038,ZW,0,0,null,0,unknown,1240,1,1,1
40144088,199,1429,25216,894252,2454735,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.73329926,30.26670074,ZW,0,0,null,4,germplasm,1200,1,1,1
40144090,199,1429,25216,894252,2454746,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.73329926,30.26670074,ZW,0,0,null,4,germplasm,1200,1,1,1
40144083,199,1429,25216,894252,2454702,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.7166996,30.16670036,ZW,null,null,null,4,germplasm,1250,1,1,1
40143980,199,1429,25216,894252,2454563,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.70000076,32.83330154,ZW,0,0,null,4,germplasm,1200,1,1,1
40143979,199,1429,25216,894252,2454562,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.68330002,32.95000076,ZW,0,0,null,4,germplasm,1500,1,1,1
91202034,199,1429,25216,894252,2454430,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.5333004,31.41670036,ZW,0,0,null,0,unknown,1150,1,1,1
91204567,199,1429,25216,894252,2454419,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.5333004,31.41670036,ZW,0,0,null,0,unknown,1100,1,1,1
40144026,199,1429,25216,894252,2454607,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.35000038,29.54999924,ZW,0,0,null,4,germplasm,1300,1,1,1
40144027,199,1429,25216,894252,2454608,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.26670074,29.4666996,ZW,0,0,null,4,germplasm,1300,1,1,1
40144029,199,1429,25216,894252,2454609,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.26670074,29.29999924,ZW,0,0,null,4,germplasm,1300,1,1,1
40144068,199,1429,25216,894252,2454653,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.0333004,31.4666996,ZW,null,null,null,4,germplasm,1200,1,1,1
40144069,199,1429,25216,894252,2454654,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.0333004,31.4666996,ZW,0,0,null,4,germplasm,1200,1,1,1
40144073,199,1429,25216,894252,2454657,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.0333004,31.4666996,ZW,0,0,null,4,germplasm,1200,1,1,1
40144077,199,1429,25216,894252,2454660,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.0333004,31.4666996,ZW,0,0,null,4,germplasm,1200,1,1,1
40144078,199,1429,25216,894252,2454661,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.0333004,31.4666996,ZW,0,0,null,4,germplasm,1200,1,1,1
40144081,199,1429,25216,894252,2454680,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-19.0333004,31.4666996,ZW,0,0,null,4,germplasm,1200,1,1,1
40143995,199,1429,25216,894252,2454577,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.89999962,31.0333004,ZW,0,0,null,4,germplasm,1490,1,1,1
40143996,199,1429,25216,894252,2454578,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.89999962,31.0333004,ZW,0,0,null,4,germplasm,1490,1,1,1
40144000,199,1429,25216,894252,2454581,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.89999962,31.45000076,ZW,0,0,null,4,germplasm,1340,1,1,1
40143985,199,1429,25216,894252,2454567,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,29.11669922,ZW,null,null,null,4,germplasm,1000,1,1,1
40143997,199,1429,25216,894252,2454579,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40143999,199,1429,25216,894252,2454580,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144001,199,1429,25216,894252,2454582,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144002,199,1429,25216,894252,2454583,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144004,199,1429,25216,894252,2454584,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144005,199,1429,25216,894252,2454588,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,null,null,null,4,germplasm,1420,1,1,1
40144007,199,1429,25216,894252,2454589,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,null,null,null,4,germplasm,1420,1,1,1
40144010,199,1429,25216,894252,2454592,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144011,199,1429,25216,894252,2454593,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144013,199,1429,25216,894252,2454594,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144014,199,1429,25216,894252,2454595,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144017,199,1429,25216,894252,2454597,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144030,199,1429,25216,894252,2454610,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
40144031,199,1429,25216,894252,2454614,species,Arachis hypogaea,Arachis,Leguminosae,null,Dicotyledons,Angiospermae,Unknown,13637149,13178451,16198321,null,21655048,16252707,14719007,7000,-18.88330078,31.39999962,ZW,0,0,null,4,germplasm,1420,1,1,1
