NWIND1966X  230  261  286  337  373  357  333  304  315  325  273  229
NWIND1967X  206  263  271  325  368  367  319  296  305  313  270  213
NWIND1968X  192  212  282  335  364  368  325  306  336  319  281  230
NWIND1969X  214  241  316  344  364  374  329  308  317  327  282  242
NWIND1970X  209  225  276  354  382  350  325  304  303  313  269  234
NWIND1971X  203  239  290  352  350  333  306  296  315  308  269  236
NWIND1972X  219  205  295  326  375  372  326  305  320  316  277  224
NWIND1973X  202  246  286  360  377  351  317  298  303  307  272  210
NWIND1974X  210  220  304  350  367  354  324  318  334  314  269  208
NWIND1975X  190  217  275  346  372  352  311  298  293  298  261  233
NWIND1976X  212  223  274  329  360  348  322  291  301  315  270  226
NWIND1977X  203  241  314  331  351  350  301  300  299  318  280  228
NWIND1978X  204  217  261  336  386  356  300  298  306  317  266  227
NWIND1979X  208  213  261  345  354  371  322  308  323  311  266  219
NWIND1980X  205  240  273  358  381  360  312  311  320  320  267  218
NWIND1981X  206  238  273  346  372  375  308  304  325  314  249  223
NWIND1982X  203  209  254  323  336  362  331  306  323  316  258  223
NWIND1983X  202  214  266  300  351  360  322  301  316  302  266  219
NWIND1984X  198  213  306  344  387  362  318  286  298  311  269  227
NWIND1985X  202  248  315  337  376  358  315  304  317  301  271  226
NWIND1986X  216  232  280  338  356  358  321  307  317  320  273  210
NWIND1987X  213  245  286  343  343  373  345  357  330  330  285  230
NWIND1988X  222  248  281  352  382  367  309  303  317  310  275  232
NWIND1989X  204  234  281  333  375  350  323  307  315  319  276  216

